run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,crash_dd_min,crash_recent_min,crash_recent_max,recovery_min,expansion_min,atr_expansion_min,vol_max,rec_quality_min,overheat_ret20_max,overheat_ret60_max,pump_ret3_max,upper_max,ret20_min,ret20_max,ret60_min,ret60_max,rsi_min,rsi_max,ema20_min,ema50_min,atrp_min,atrp_max,range60_max,close_pos_min,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,verdict,note
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_D_034,quality_payoff_mix,recovery_quality_plus_exit,long,29452,8848,20604,30.042102403911446,7.945664095800153,8.041467364434919,3.724246940463971,104.01773632168258,597,0,0.01,0.0004,0.08,EM27_D_034,-0.22,12,240,0.08,0.012,0.9,4.0,0.55,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.2,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_D_035,quality_payoff_mix,recovery_quality_plus_exit,long,29557,9173,20384,31.0349494197652,8.916834342234004,9.094598535474763,3.070822004102791,105.7444975983598,597,0,0.01,0.0004,0.08,EM27_D_035,-0.22,12,240,0.08,0.012,0.9,4.0,0.75,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_D_036,quality_payoff_mix,recovery_quality_plus_exit,long,29265,8780,20485,30.00170852554246,6.071762683674353,6.241565200121446,3.9875791904015467,102.00509865464451,597,0,0.01,0.0004,0.08,EM27_D_036,-0.22,12,240,0.08,0.012,0.9,4.0,0.75,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.95,3.2,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_037,deep_crash_payoff,deeper_crash_plus_payoff,long,25470,7893,17577,30.98939929328622,10.34266740016896,10.541099393608855,2.870522654620755,107.36799209284847,597,0,0.01,0.0004,0.08,EM27_E_037,-0.22,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_038,deep_crash_payoff,deeper_crash_plus_payoff,long,25237,7585,17652,30.055077861869478,11.67120820630354,11.853067192597377,3.1266194435334294,108.35584744556512,597,0,0.01,0.0004,0.08,EM27_E_038,-0.22,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,3.2,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_039,deep_crash_payoff,deeper_crash_plus_payoff,long,19631,6210,13421,31.633640670368298,13.51534782711492,13.529651451799495,1.3604753440010553,111.98510853566742,597,0,0.01,0.0004,0.08,EM27_E_039,-0.25,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_040,deep_crash_payoff,deeper_crash_plus_payoff,long,19449,5998,13451,30.839631857679056,16.565155747041494,16.57696858282758,1.5748793733025734,114.7410219505952,597,0,0.01,0.0004,0.08,EM27_E_040,-0.25,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,3.2,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_041,deep_crash_payoff,deeper_crash_plus_payoff,long,14347,4630,9717,32.27155502892591,14.250982475771746,14.343236121140546,1.285280001716349,112.87360537396023,597,0,0.01,0.0004,0.08,EM27_E_041,-0.28,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_042,deep_crash_payoff,deeper_crash_plus_payoff,long,14209,4440,9769,31.24780068970371,14.395930763243037,14.432765609733789,1.5260967498263334,112.68641089302726,597,0,0.01,0.0004,0.08,EM27_E_042,-0.28,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,3.2,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_043,deep_crash_payoff,deeper_crash_plus_payoff,long,11622,3719,7903,31.99965582515918,11.559368249500723,11.736805573045794,1.259827194496299,110.32911491017511,597,0,0.01,0.0004,0.08,EM27_E_043,-0.3,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,2.8,14,18,6,-0.5,mdd_under5,official candidate pool
LONG_EVENT_MEMORY_V27_BEST_MIX_1H,EM27_E_044,deep_crash_payoff,deeper_crash_plus_payoff,long,11512,3554,7958,30.872133425990274,11.001198411554537,11.160439451264503,1.457890125922423,109.53984238057255,597,0,0.01,0.0004,0.08,EM27_E_044,-0.3,12,240,0.1,0.012,0.9,4.0,0.0,0.18,0.35,0.2,0.82,-0.16,0.18,-0.35,0.35,28,72,0.82,0.74,0.001,0.095,0.58,0.48,0.9,3.2,14,18,6,-0.5,mdd_under5,official candidate pool
