feature,bin,trades,wins,losses,win_rate_pct,avg_pnl_pct,sum_pnl_pct,median_pnl_pct,avg_mae_pct,avg_mfe_pct
expected_tp,"(0.0618, 0.0694]",56,31,25,55.35714285714286,1.5464768786390803,86.6027052037885,2.9318296192725968,-3.1187782586670676,4.673860020025954
expected_tp,"(0.0545, 0.0618]",55,32,23,58.18181818181818,1.7083053285526788,93.95679307039734,2.5001539632856757,-2.542965979966775,3.6351496342072496
expected_tp,"(0.0857, 0.0963]",56,31,25,55.35714285714286,1.9421223918553872,108.75885394390168,3.2929417565669485,-4.151259835804971,5.1927291623078
expected_tp,"(0.078, 0.0857]",55,32,23,58.18181818181818,2.030596028145137,111.68278154798254,3.240897804415622,-3.683079476545143,5.11625653172301
expected_tp,"(0.0963, 0.113]",55,40,15,72.72727272727273,5.291695882744753,291.0432735509614,8.238310584599526,-3.90610859623704,8.362615617255932
expected_tp,"(0.113, 0.144]",56,41,15,73.21428571428571,5.811418091468534,325.4394131222379,8.765040839625671,-4.118933287852697,9.788518007539185
expected_tp,"(0.144, 0.675]",56,39,17,69.64285714285714,17.263722714635133,966.7684720195675,20.899748256434847,-6.474436285714426,28.139908671463555
hold_bars,"(0.999, 2.0]",148,24,124,16.216216216216218,0.6773110850100615,100.2420405814891,-2.9592085662075602,-8.370910027046811,6.867918136757606
hold_bars,"(2.0, 3.0]",33,17,16,51.515151515151516,6.08816948066629,200.90959286198756,4.119406960809869,-2.4422132878462377,8.857576649189667
hold_bars,"(7.0, 10.0]",41,29,12,70.73170731707317,5.3460899847998355,219.18968937679327,7.489082467252539,-1.8036051984844044,7.512368044324544
hold_bars,"(4.0, 7.0]",66,46,20,69.6969696969697,5.773112559446154,381.02542892344616,7.15895520999759,-2.07667009972943,8.638379779590533
hold_bars,"(3.0, 4.0]",47,31,16,65.95744680851064,9.074857373770616,426.51829656721895,5.768294898800875,-2.315425409121312,13.547497106034784
hold_bars,"(10.0, 18.0]",222,186,36,83.78378378378379,3.7034963317389415,822.176185646045,3.5909738243123392,-1.2323683737224878,6.238931397452082
low_break_atr,"(0.554, 0.713]",55,18,37,32.72727272727273,-0.32750578192395297,-18.01281800581741,-1.8368252799504665,-3.8750040081180424,3.70393630533636
low_break_atr,"(0.341, 0.554]",56,20,36,35.714285714285715,1.3946437128193072,78.1000479178812,-2.102226035865412,-4.606502864657694,5.057519157269291
low_break_atr,"(0.0028899999999999998, 0.341]",56,27,29,48.214285714285715,2.075044541736046,116.20249433721858,-0.04642306932648734,-3.4488243929745637,5.536068120326683
low_break_atr,"(1.527, 1.872]",55,40,15,72.72727272727273,4.411572144591173,242.63646795251455,3.2700837520937935,-2.917133537868953,7.839764756262585
low_break_atr,"(1.121, 1.288]",55,35,20,63.63636363636363,4.412058861118621,242.66323736152415,2.1762119081106515,-3.7881977234991635,8.31618912638053
low_break_atr,"(1.288, 1.527]",56,39,17,69.64285714285714,4.636453182596911,259.64137822542705,3.831762171752792,-2.890490102903086,7.3626397827229955
low_break_atr,"(2.267, 4.299]",56,47,9,83.92857142857143,4.877370170142037,273.1327295279541,5.020496381734221,-3.2661837310293875,9.226393989082684
low_break_atr,"(0.713, 0.923]",56,33,23,58.92857142857143,5.439549325261159,304.6147622146249,2.665263215308154,-3.336558611556746,9.775922050652095
low_break_atr,"(0.923, 1.121]",56,28,28,50.0,5.694776565231392,318.90748765295797,1.158736744544449,-4.072000248750924,9.340287218913009
low_break_atr,"(1.872, 2.267]",56,46,10,82.14285714285714,5.931704406655266,332.1754467726949,5.338143863924109,-2.1470846123278116,9.350691874118812
lower_wick_body_ratio,"(3.994, 8.942]",56,33,23,58.92857142857143,2.6662115985814148,149.30784952055922,2.6708465789469926,-3.8571448408645566,7.1339697834550675
lower_wick_body_ratio,"(1.544, 1.701]",55,31,24,56.36363636363636,3.0286425302817315,166.57533916549522,3.5884782608695733,-2.751982197016493,6.188578579414311
lower_wick_body_ratio,"(2.075, 2.343]",55,32,23,58.18181818181818,3.1636980952737765,174.0033952400577,2.1762119081106515,-3.403393307406697,6.527947060005772
lower_wick_body_ratio,"(1.406, 1.544]",56,32,24,57.14285714285714,3.124286790532446,174.96006026981698,2.3943786465292716,-3.7970873965326484,6.297941239159934
lower_wick_body_ratio,"(1.3010000000000002, 1.406]",56,31,25,55.35714285714286,3.277860485014941,183.5601871608367,2.046684370597369,-3.4224162149786594,6.704742805355126
lower_wick_body_ratio,"(3.175, 3.994]",56,34,22,60.71428571428571,3.5027000391633223,196.15120219314605,3.108473415470068,-4.274263948888444,8.287851254198992
