feature,bucket,feature_min,feature_max,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,p25_net_ret_pct,p75_net_ret_pct,p05_net_ret_pct,p95_net_ret_pct,profit_factor,avg_mae_pct,med_mae_pct,p75_mae_pct,p90_mae_pct,p95_mae_pct,p99_mae_pct,max_mae_pct,avg_mfe_pct,med_mfe_pct,p95_mfe_pct,mfe_mae_ratio,mae_gt_3_pct,mae_gt_5_pct,mae_gt_10_pct
break_bar_body_pct,"(0.304, 0.454]",0.3050268423621349,0.45355759236510584,110,58.18181818181818,0.7736846459648004,0.3668693564482984,-1.824986404785259,3.315908672780923,-8.658875420665584,9.41091410367534,1.5061660382086104,3.8313604204777447,2.4267775199060315,4.312899239777746,9.379465369499986,11.876095355143057,21.84060835391379,34.21181063933627,4.438419781278692,2.3750692399347906,15.15714292061385,1.1584448587912413,40.0,18.181818181818183,10.0
break_bar_body_pct,"(0.454, 0.689]",0.45358981574982443,0.6894340227673447,110,55.45454545454545,1.3813144141472737,0.7761298879918743,-2.0450665975266435,3.153438836221958,-7.303334575947451,9.32355241508943,1.866447810018849,4.657429386473744,3.234338590163399,6.3795349194458115,9.20061869008736,12.951739807842115,19.22518129880743,45.39085545722714,5.56348122050243,3.850894572242558,12.249789680685012,1.1945390383502261,54.54545454545454,31.818181818181817,7.2727272727272725
break_bar_body_pct,"(0.689, 4.533]",0.6907137375287826,4.5330102481374634,110,62.727272727272734,1.4749348021138378,1.5651266067581515,-1.635580107618856,4.821005643835182,-7.574225283198386,10.502182467567083,1.872693607039449,5.602579938600118,3.611067716156935,7.076820566036251,12.180991391815407,14.519001062056125,34.16883192470175,57.67472371530125,6.466645326764087,4.691983547598111,16.69766518984558,1.1542263381573217,58.18181818181818,36.36363636363637,13.636363636363635
break_bar_close_pos,"(-0.001, 0.0423]",0.0,0.04228855721394864,111,44.14414414414414,-0.5447053739648577,-0.41112582781457124,-2.707078003995126,1.6220198273265398,-7.723700229328798,5.453375713713539,0.7013995494585578,4.123700437069432,3.1561461794019863,5.1563860816595035,9.158249158249166,12.212443768504965,16.905012734582908,21.580130489610163,3.2518370108764767,2.2749574220908952,9.718254856545606,0.788572560131803,50.45045045045045,26.126126126126124,8.108108108108109
break_bar_close_pos,"(0.0423, 0.114]",0.04265402843600898,0.11363636363638639,110,54.54545454545454,1.1538266844927423,0.5469102375495161,-1.235405515000199,3.0712898900837082,-4.970932602017855,9.774405795233832,2.027561244656877,3.70480462202694,2.43895185048717,4.662882372007193,7.656864717966588,12.089274082203133,21.3279094232498,35.65112540192927,4.559336058427161,3.192716672274787,14.394617454609781,1.2306549261247406,39.09090909090909,20.909090909090907,6.363636363636363
break_bar_close_pos,"(0.114, 0.2]",0.1176470588235202,0.2000000000000185,110,59.09090909090909,0.6489292371490173,0.4936370084678199,-1.7202637139371983,2.989669168435735,-5.68016988884248,8.092709992058195,1.4442417221137203,3.6272224212606985,2.263886371697177,4.7724325206012,7.720298266390323,10.416392369975538,16.287936367653536,45.39085545722714,4.606672567978289,2.7984171229482824,13.227060857082169,1.2700275949378277,35.45454545454545,23.636363636363637,6.363636363636363
break_bar_close_pos,"(0.2, 0.329]",0.20000000000002083,0.32926829268293634,110,54.54545454545454,0.09064833709267597,0.3850297183526941,-2.004775899471995,2.730646535821654,-8.175250287649254,9.133973294120599,1.047798771300627,5.242059361788361,3.1185563534743777,5.596509776256481,10.437443656047616,13.913058919792984,45.85108872172519,57.67472371530125,4.163109949963791,2.7823364030158393,13.88242674077548,0.7941745147547355,51.81818181818182,28.18181818181818,11.818181818181818
break_bar_close_pos,"(0.329, 0.927]",0.33333333333330867,0.9267399267399248,110,60.0,2.2420641993667068,0.7145615532284011,-1.161244425996006,3.942169137191822,-5.9513826311759574,11.838556949296242,2.817024867911743,4.040377757020648,2.2149285009861908,5.456768539500323,9.465211611521244,12.37350100833475,19.659172148011656,34.21181063933627,6.033094386269311,3.9149503811843123,17.29721356477725,1.493200574076539,40.909090909090914,27.27272727272727,10.0
break_bar_volume_spike20,"(0.403, 1.216]",0.4035567604465958,1.2163020160960045,111,51.35135135135135,0.8221113011420041,0.10836333193805733,-1.8259871801641656,2.6004575649404416,-4.953298735168574,12.645951436767058,1.5616914743957915,3.919630535191232,2.41783150736683,4.601324580274724,7.36703006276842,9.751679862099948,22.05873507062167,48.44330983961376,5.123771259663754,2.7955822897150373,16.33243851216768,1.307207710946607,43.24324324324324,19.81981981981982,5.405405405405405
break_bar_volume_spike20,"(1.216, 1.729]",1.2288280048226832,1.7293144444666877,110,49.09090909090909,0.43135306556156056,-0.2775856438717616,-2.151474468923573,1.903711308889985,-7.675473386095011,8.673145758930179,1.2645325462715222,4.25461912186208,3.256401774360429,6.375677801778002,8.823957130958776,11.831733758079508,16.3497187708227,19.706444328643393,4.123955157862122,2.738532563412044,10.354822817339102,0.9692889162913432,52.72727272727272,31.818181818181817,9.090909090909092
