trades,wins,losses,win_rate_pct,final_asset,final_return_pct,peak_asset,max_return_pct,max_drawdown_pct,official_cd_value,pf,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover,gross_profit,gross_loss,axis,strategy,parent,family,description,raw_trades_generated,errors,initial_asset,position_fraction,fee_per_side,round_trip_fee,short_dev,short_rsi_min,short_wick_mult,score_min_short,dd_brake_trigger_pct,dd_brake_freeze_steps,atr_stop_mult,rr_mult,min_expected_tp,timeout_bars,fail_fast_bars,time_reduce_bars,time_reduce_to_risk_frac,elapsed_sec,parent_trades,parent_max_return_pct,parent_max_drawdown_pct,parent_official_cd_value,parent_trade_ratio,delta_max_return_pct,delta_max_drawdown_pct,delta_official_cd_value,sm24_trades,sm24_official_cd_value,sm24_trade_ratio,delta_vs_sm24_max_return_pct,delta_vs_sm24_max_drawdown_pct,delta_vs_sm24_official_cd_value,gate_mdd_under_5,gate_trades_over_20000,gate_active_leftover_zero,gate_candidate_pass,gate_beats_parent_cd,gate_beats_sm24_cd,gate_v15_strong_pass
28309,4332,23977,15.302553958105197,424.57619372612027,324.57619372612027,424.8511648793943,324.8511648793943,4.368128294186258,406.2931209381175,1.4434175122920925,286,286,3358,0,1056.5639585943682,731.9877648682428,short_main,SM15_A05_rr57,short_beh_dd_brake,rr_fine,SM24 주변 RR 단독 조정. rr_mult=5.7.,34046,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.7,0.003,200,10,10,0.05,1298.2874677181244,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0000353257029815,2.093441596754701,-0.03849392191950152,2.1647334099536693,28311,408.3085802510934,0.9999293560806753,-2.0797203465145913,0.006226726685110151,-2.0154593129759064,True,True,True,True,True,False,False
28309,4332,23977,15.302553958105197,424.57619372612027,324.57619372612027,424.8511648793943,324.8511648793943,4.368128294186258,406.2931209381175,1.4434175122920925,286,286,3358,0,1056.5639585943682,731.9877648682428,short_main,SM15_B06_rr57_tr10_f005,short_beh_dd_brake,rr_time_reduce,"RR 5.7, time_reduce_bars 10, risk_frac 0.05.",34046,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.7,0.003,200,10,10,0.05,310.26071310043335,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0000353257029815,2.093441596754701,-0.03849392191950152,2.1647334099536693,28311,408.3085802510934,0.9999293560806753,-2.0797203465145913,0.006226726685110151,-2.0154593129759064,True,True,True,True,True,False,False
28309,4332,23977,15.302553958105197,424.5613082377614,324.56130823776135,424.83626975064584,324.8362697506458,4.368128294186258,406.2788764477024,1.443399182083431,286,286,3358,0,1056.545762319789,731.9844540820301,short_main,SM15_C04_rr57_ff12,short_beh_dd_brake,rr_failfast,"RR 5.7, fail_fast_bars 12.",34046,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.7,0.003,200,12,10,0.05,300.026198387146,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0000353257029815,2.078546468006209,-0.03849392191950152,2.1504889195385317,28311,408.3085802510934,0.9999293560806753,-2.0946154752630832,0.006226726685110151,-2.029703803391044,True,True,True,True,True,False,False
28306,4331,23975,15.300642973221226,424.5062020925249,324.5062020925249,424.7811279166437,324.7811279166437,4.380581592411192,406.1732440190906,1.4436004434478105,286,286,3358,0,1056.0343303566883,731.5281282641602,short_main,SM15_A04_rr5675,short_beh_dd_brake,rr_fine,SM24 주변 RR 단독 조정. rr_mult=5.675.,34046,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.675,0.003,200,10,10,0.05,1343.3313229084015,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.999929348594037,2.023404634004123,-0.026040623694567167,2.0448564909267475,28311,408.3085802510934,0.9998233902016884,-2.149757309265169,0.0186800249100445,-2.135336232002828,True,True,True,True,True,False,False
28310,4323,23987,15.270222536206287,423.20564917288146,323.2056491728815,423.47973271111255,323.47973271111255,4.336727914490779,405.1145689304188,1.4429482415216177,286,286,3357,0,1052.874759185817,729.669110012941,short_main,SM15_A08_rr58,short_beh_dd_brake,rr_fine,SM24 주변 RR 단독 조정. rr_mult=5.8.,34042,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.8,0.003,200,10,10,0.05,526.2818944454193,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.000070651405963,0.7220094284729726,-0.06989430161498067,0.9861814022549424,28311,408.3085802510934,0.9999646780403377,-3.45115251479632,-0.025173653010369,-3.1940113206746332,True,True,True,True,True,False,False
28310,4323,23987,15.270222536206287,423.20564917288146,323.2056491728815,423.47973271111255,323.47973271111255,4.336727914490779,405.1145689304188,1.4429482415216177,286,286,3357,0,1052.874759185817,729.669110012941,short_main,SM15_B14_rr58_tr10_f005,short_beh_dd_brake,rr_time_reduce,"RR 5.8, time_reduce_bars 10, risk_frac 0.05.",34042,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.8,0.003,200,10,10,0.05,305.70449233055115,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.000070651405963,0.7220094284729726,-0.06989430161498067,0.9861814022549424,28311,408.3085802510934,0.9999646780403377,-3.45115251479632,-0.025173653010369,-3.1940113206746332,True,True,True,True,True,False,False
28310,4323,23987,15.270222536206287,423.19081173531725,323.19081173531725,423.46488566427826,323.46488566427826,4.336727914490779,405.100365759609,1.4429299077277564,286,286,3357,0,1052.856625889279,729.665814153965,short_main,SM15_C08_rr58_ff12,short_beh_dd_brake,rr_failfast,"RR 5.8, fail_fast_bars 12.",34042,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.8,0.003,200,12,10,0.05,341.01236629486084,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.000070651405963,0.7071623816386818,-0.06989430161498067,0.9719782314451777,28311,408.3085802510934,0.9999646780403377,-3.4659995616306105,-0.025173653010369,-3.208214491484398,True,True,True,True,True,False,False
28287,4727,23560,16.710856577226288,424.4599183189528,324.4599183189529,424.7380363321825,324.7380363321825,4.659119886373664,404.9489820164368,1.4047142810273505,286,286,3358,0,1126.161102411888,801.7011840929387,short_main,SM15_B08_rr57_tr14_f008,short_beh_dd_brake,rr_time_reduce,"RR 5.7, time_reduce_bars 14, risk_frac 0.08.",34013,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.7,0.003,200,10,14,0.08,305.35213828086853,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9992581602373887,1.9803130495429286,0.25249767026790426,0.8205944882729455,28311,408.3085802510934,0.9991522729681043,-2.1928488937263637,0.29721831887251593,-3.35959823465663,True,True,True,True,True,False,False
28292,4329,23963,15.301145200056554,422.9300255928733,322.9300255928733,423.20393062714015,323.20393062714015,4.387388136241521,404.63633158269715,1.4436054598568393,286,286,3361,0,1050.8967771677724,727.9667515748996,short_main,SM15_A02_rr5625,short_beh_dd_brake,rr_fine,SM24 주변 RR 단독 조정. rr_mult=5.625.,34049,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.625,0.003,200,10,10,0.05,259.8590953350067,28308,322.7577232826396,4.4066222161057595,404.12838752816384,0.9994347887522962,0.44620734450057853,-0.01923407986423875,0.5079440545333114,28311,408.3085802510934,0.9993288827664158,-3.726954598768714,0.025486568740372917,-3.6722486683962643,True,True,True,True,True,False,False
28311,4325,23986,15.276747553954293,422.7083231067717,322.7083231067717,422.98208455835737,322.98208455835737,4.3493349118596925,404.5851770837488,1.442603339643164,286,286,3357,0,1051.8223947876281,729.114071680856,short_main,SM15_A07_rr5775,short_beh_dd_brake,rr_fine,SM24 주변 RR 단독 조정. rr_mult=5.775.,34043,0,100.0,0.01,0.0004,0.0008,0.033,77.0,1.3,2.2,0.03,5,1.8975,5.775,0.003,200,10,10,0.05,548.3365578651428,28308,322.7577232826396,4.4066222161057595,404.12838752816384,1.0001059771089444,0.22436127571779707,-0.057287304246067094,0.4567895555849759,28311,408.3085802510934,1.0,-3.9488006675514953,-0.012566655641455426,-3.7234031673445998,True,True,True,True,True,False,False
