entry_ts,entry_dt,candidate_count,long_count,short_count,selected_count_top200,rejected_count_top200
1594947900000000,1970-01-19 11:02:27.900000,1,0,1,1,0
1594955400000000,1970-01-19 11:02:35.400000,1,0,1,1,0
1594958400000000,1970-01-19 11:02:38.400000,1,0,1,1,0
1594974300000000,1970-01-19 11:02:54.300000,1,0,1,1,0
1595064900000000,1970-01-19 11:04:24.900000,1,0,1,1,0
1595065500000000,1970-01-19 11:04:25.500000,1,1,0,1,0
1595067600000000,1970-01-19 11:04:27.600000,1,0,1,1,0
1595070300000000,1970-01-19 11:04:30.300000,1,0,1,1,0
1595078700000000,1970-01-19 11:04:38.700000,1,0,1,1,0
1595154900000000,1970-01-19 11:05:54.900000,1,0,1,1,0
1595273700000000,1970-01-19 11:07:53.700000,1,1,0,1,0
1595290800000000,1970-01-19 11:08:10.800000,1,0,1,1,0
1595295000000000,1970-01-19 11:08:15,1,0,1,1,0
1595305800000000,1970-01-19 11:08:25.800000,1,1,0,1,0
1595306100000000,1970-01-19 11:08:26.100000,2,2,0,2,0
1595306400000000,1970-01-19 11:08:26.400000,1,1,0,1,0
1595306700000000,1970-01-19 11:08:26.700000,2,2,0,2,0
1595380500000000,1970-01-19 11:09:40.500000,1,0,1,1,0
1595441700000000,1970-01-19 11:10:41.700000,1,0,1,1,0
1595468400000000,1970-01-19 11:11:08.400000,1,1,0,1,0
1595489700000000,1970-01-19 11:11:29.700000,1,0,1,1,0
1595628900000000,1970-01-19 11:13:48.900000,1,0,1,1,0
1595748900000000,1970-01-19 11:15:48.900000,1,1,0,1,0
1595790600000000,1970-01-19 11:16:30.600000,3,2,1,3,0
1595791200000000,1970-01-19 11:16:31.200000,1,1,0,1,0
1595792100000000,1970-01-19 11:16:32.100000,1,1,0,1,0
1595816700000000,1970-01-19 11:16:56.700000,1,0,1,1,0
1595847900000000,1970-01-19 11:17:27.900000,1,1,0,1,0
1595854500000000,1970-01-19 11:17:34.500000,1,1,0,1,0
1595856600000000,1970-01-19 11:17:36.600000,1,1,0,1,0
1595889900000000,1970-01-19 11:18:09.900000,1,1,0,1,0
1595891400000000,1970-01-19 11:18:11.400000,1,1,0,1,0
1595892000000000,1970-01-19 11:18:12,1,1,0,1,0
1595892900000000,1970-01-19 11:18:12.900000,1,1,0,1,0
1595894400000000,1970-01-19 11:18:14.400000,2,2,0,2,0
1595894700000000,1970-01-19 11:18:14.700000,4,4,0,4,0
1595895300000000,1970-01-19 11:18:15.300000,1,1,0,1,0
1595906100000000,1970-01-19 11:18:26.100000,1,0,1,1,0
1595935500000000,1970-01-19 11:18:55.500000,1,0,1,1,0
1596014400000000,1970-01-19 11:20:14.400000,1,0,1,1,0
1596103800000000,1970-01-19 11:21:43.800000,1,0,1,1,0
1596233700000000,1970-01-19 11:23:53.700000,1,0,1,1,0
1596249600000000,1970-01-19 11:24:09.600000,1,0,1,1,0
1596282900000000,1970-01-19 11:24:42.900000,1,0,1,1,0
1596283500000000,1970-01-19 11:24:43.500000,1,0,1,1,0
1596302700000000,1970-01-19 11:25:02.700000,1,0,1,1,0
1596305100000000,1970-01-19 11:25:05.100000,1,0,1,1,0
1596308700000000,1970-01-19 11:25:08.700000,1,0,1,1,0
1596342600000000,1970-01-19 11:25:42.600000,1,0,1,1,0
