combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return
short_max_v12_L12_SPLIT300,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,32.22392862340029,32.36684899561275,6.752061265026627,123.4293582568437,25,62,0,0,True,False,12.0,0.0033333333333333335,0.04,0.0004,300,32.22392862340029,65
short_max_v12_L20_SPLIT500,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,32.22392862340029,32.36684899561275,6.752061265026627,123.4293582568437,25,62,0,0,True,False,20.0,0.002,0.04,0.0004,500,32.22392862340029,66
short_max_v12_L15_SPLIT400,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,29.982377313640463,30.114087166409465,6.343352676014391,121.86049173626733,25,62,0,0,True,False,15.0,0.0025,0.0375,0.0004,400,29.982377313640463,67
short_max_v12_L30_SPLIT800,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,29.982377313640463,30.114087166409465,6.343352676014391,121.86049173626733,25,62,0,0,True,False,30.0,0.00125,0.0375,0.0004,800,29.982377313640463,68
short_max_v12_L25_SPLIT700,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,28.400947693031874,28.524855112478885,6.050353844952724,120.7486465994611,25,62,0,0,True,False,25.0,0.0014285714285714286,0.03571428571428571,0.0004,700,28.400947693031874,69
short_max_v12_L7_SPLIT200,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,27.7729301836783,27.893763821577068,5.932905333884946,120.30594788610051,25,62,0,0,True,False,7.0,0.005,0.035,0.0004,200,27.7729301836783,70
short_max_v12_L5_SPLIT150,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,26.317608135220617,26.43137327694529,5.658304254185055,119.2775015041913,25,62,0,0,True,False,5.0,0.006666666666666667,0.03333333333333333,0.0004,150,26.317608135220617,71
short_max_v12_L10_SPLIT300,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,26.317608135220617,26.43137327694529,5.658304254185055,119.2775015041913,25,62,0,0,True,False,10.0,0.0033333333333333335,0.03333333333333333,0.0004,300,26.317608135220617,72
short_max_v12_L25_SPLIT800,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,24.518101906051303,24.623232983197617,5.313958445235173,118.00080616936188,25,62,0,0,True,False,25.0,0.00125,0.03125,0.0004,800,24.518101906051303,73
short_max_v12_L3_SPLIT100,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,23.448790799359422,23.54884743876933,5.10676564287958,117.23949734559255,25,62,0,0,True,False,3.0,0.01,0.03,0.0004,100,23.448790799359422,74
short_max_v12_L12_SPLIT400,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,23.448790799359422,23.54884743876933,5.10676564287958,117.23949734559255,25,62,0,0,True,False,12.0,0.0025,0.03,0.0004,400,23.448790799359422,75
short_max_v12_L15_SPLIT500,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,23.448790799359422,23.54884743876933,5.10676564287958,117.23949734559255,25,62,0,0,True,False,15.0,0.002,0.03,0.0004,500,23.448790799359422,76
short_max_v12_L30_SPLIT1000,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,23.448790799359422,23.54884743876933,5.10676564287958,117.23949734559255,25,62,0,0,True,False,30.0,0.001,0.03,0.0004,1000,23.448790799359422,77
short_max_v12_L20_SPLIT700,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,22.236190996381588,22.330544331892277,4.869434925045809,116.37373808219647,25,62,0,0,True,False,20.0,0.0014285714285714286,0.02857142857142857,0.0004,700,22.236190996381588,78
short_max_v12_L7_SPLIT250,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,21.753964411266004,21.846064851628476,4.774341385830795,116.02871775041095,25,62,0,0,True,False,7.0,0.004,0.028,0.0004,250,21.753964411266004,79
short_max_v12_L2_SPLIT75,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,20.634986767778194,20.721893030839755,4.552097466428322,115.2265147967586,25,62,0,0,True,False,2.0,0.013333333333333334,0.02666666666666667,0.0004,75,20.634986767778194,80
short_max_v12_L5_SPLIT200,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,19.248434212627696,19.3289697164454,4.273584408816916,114.22934547144153,25,62,0,0,True,False,5.0,0.005,0.025,0.0004,200,19.248434212627696,81
short_max_v12_L10_SPLIT400,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,19.248434212627696,19.3289697164454,4.273584408816916,114.22934547144153,25,62,0,0,True,False,10.0,0.0025,0.025,0.0004,400,19.248434212627696,82
short_max_v12_L20_SPLIT800,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,19.248434212627696,19.3289697164454,4.273584408816916,114.22934547144153,25,62,0,0,True,False,20.0,0.00125,0.025,0.0004,800,19.248434212627696,83
short_max_v12_L25_SPLIT1000,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,19.248434212627696,19.3289697164454,4.273584408816916,114.22934547144153,25,62,0,0,True,False,25.0,0.001,0.025,0.0004,1000,19.248434212627696,84
