id,symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,exit_reason,equity_after_exit,position_fraction,fee_per_side
17115,APE,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,44539,44540,44561,1660923600,1660929900,5.263,5.219,-0.009160250807524117,time,110.89860376389298,0.01,0.0004
17117,AR,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,93637,93638,93659,1660923600,1660929900,11.713,11.784,0.005261640911807497,time,110.90443885019926,0.01,0.0004
17118,ARPA,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,87589,87590,87611,1660923600,1660929900,0.03519,0.03519,-0.0008,time,110.90355161468845,0.01,0.0004
17119,ATA,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,101701,101702,101723,1660923600,1660929900,0.1662,0.166,-0.002003369434416235,time,110.90132980683373,0.01,0.0004
17120,ATOM,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,266045,266046,266067,1660923600,1660929900,10.392,10.451,0.004877444187836888,time,110.90673895729863,0.01,0.0004
17121,AVAX,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,200155,200156,200177,1660923600,1660929900,21.9,22.08,0.007419178082191858,time,110.91496732576704,0.01,0.0004
17123,BAKE,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,131611,131612,131633,1660923600,1660929900,0.2594,0.2638,0.016162220508866423,time,110.93289364736356,0.01,0.0004
17124,BAL,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,206491,206492,206513,1660923600,1660929900,5.677,5.709,0.004836779989431017,time,110.9382592273652,0.01,0.0004
17125,BAND,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,216283,216284,216305,1660923600,1660929900,1.3219,1.3496,0.020154686436190252,time,110.96061848565024,0.01,0.0004
17126,BAT,long,8V4_V09_V054_extreme_vol18__CH_tp03_risk_rr_plus20__DEV13_risk_stop_110__DEV14_risk_rr_320__DEV16_risk_rr_350,264366,264367,264388,1660923600,1660929900,0.364,0.3634,-0.0024483516483516424,time,110.95790177951852,0.01,0.0004
