symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
WAVES,short,short_max_v7_devw120,255243,255244,255272,1673821200,1673829600,2.383,2.3856162764408406,-0.00189668787335071,-0.00189668787335071,2.5865537123393727,False,stop,11509,141.44904689327913,0.01,0.0004
ALPHA,short,short_max_v7_devw120,225613,225614,225621,1673831400,1673833500,0.10904,0.11084108493498074,-0.017049253929959794,-0.017049253929959794,3.0064645269925547,False,stop,11514,141.4249308860928,0.01,0.0004
RUNE,short,short_max_v7_devw120,248460,248461,248661,1673774100,1673834100,1.808,1.746,0.03470973654066447,0.03470973654066447,3.0266755110298487,False,fail_fast_or_timeout,11500,141.47404918087832,0.01,0.0004
MANA,short,short_max_v7_devw120,193365,193366,193371,1673833800,1673835300,0.6432,0.6632403676954391,-0.03101584431760904,-0.03101584431760904,2.8004802764439445,False,stop,11515,141.4301850444884,0.01,0.0004
MANA,short,short_max_v7_devw120,193376,193377,193383,1673837100,1673838900,0.683,0.7049054742867055,-0.03187576134072665,-0.03187576134072665,2.893779512080006,False,stop,11516,141.38510309623987,0.01,0.0004
MANA,short,short_max_v7_devw120,193384,193385,193393,1673839500,1673841900,0.7062,0.707611817212998,-0.0027951860308927704,-0.0027951860308927704,2.8256521550238354,False,stop,11517,141.38115111958837,0.01,0.0004
LRC,short,short_max_v7_devw120,235755,235756,235760,1673850300,1673851500,0.273,0.277923276771997,-0.018514517579022203,-0.018514517579022203,2.8163154253652976,False,stop,11518,141.3549750815109,0.01,0.0004
1000SHIB,short,short_max_v7_devw120,177182,177183,177199,1673855400,1673860200,0.010871,0.01088179433712872,-0.0017919629791098616,-0.0017919629791098616,2.8641773885689945,False,stop,11520,141.3524420526883,0.01,0.0004
CELO,short,short_max_v7_devw120,137049,137050,137053,1673860800,1673861700,0.708,0.7269500973014967,-0.026867947953843372,-0.026867947953843372,5.237707943014853,False,stop,11521,141.3144635521261,0.01,0.0004
CELO,short,short_max_v7_devw120,137054,137055,137058,1673862300,1673863200,0.739,0.7679035349944678,-0.038439538922914386,-0.038439538922914386,3.931439718329531,False,stop,11522,141.26014292390528,0.01,0.0004
AAVE,short,short_max_v7_devw120,236546,236547,236680,1673828100,1673868000,81.39,81.48079316557198,-0.0019142891722651926,-0.0019142891722651926,2.9601769011060113,False,stop,11513,141.25743512874385,0.01,0.0004
LRC,short,short_max_v7_devw120,235761,235762,235816,1673852100,1673868300,0.2818,0.2821097596258774,-0.0018980110233982376,-0.0018980110233982376,2.8549070623338406,False,stop,11519,141.25475219573468,0.01,0.0004
CELR,short,short_max_v7_devw120,189450,189451,189459,1673868900,1673871300,0.0146,0.01461754593051154,-0.002000333530330555,-0.002000333530330555,4.017576834976224,False,stop,11526,141.25192662956331,0.01,0.0004
ZIL,short,short_max_v7_devw120,271254,271255,271255,1673879700,1673879700,0.02959,0.030366842818954822,-0.02638194223832577,-0.02638194223832577,4.179599552217719,True,stop,11529,141.2146616278694,0.01,0.0004
ANKR,short,short_max_v7_devw120,207341,207342,207344,1673879400,1673880000,0.0247,0.025055701491925854,-0.014996429185607818,-0.014996429185607818,2.4712944152561658,False,stop,11528,141.1934788827191,0.01,0.0004
ENJ,short,short_max_v7_devw120,241571,241572,241619,1673866800,1673880900,0.3786,0.3789611916977112,-0.0017531099902159167,-0.0017531099902159167,2.378243062605463,False,stop,11523,141.1910024370413,0.01,0.0004
ZIL,short,short_max_v7_devw120,271256,271257,271265,1673880300,1673882700,0.03014,0.03018260137408249,-0.0022114546839250063,-0.0022114546839250063,3.6198603722045566,False,stop,11530,141.18788000723916,0.01,0.0004
WAVES,short,short_max_v7_devw120,255404,255405,255470,1673869500,1673889000,2.5429,2.1939189491466258,0.15826743090446352,0.15826743090446352,2.9752561201361036,False,target,11527,141.55415367299315,0.01,0.0004
TRB,short,short_max_v7_devw120,249112,249113,249134,1673882700,1673889000,16.76,15.21036099570597,0.1010804882232256,0.1010804882232256,3.108628769068736,False,target,11531,141.33059340566248,0.01,0.0004
LUNA2,short,short_max_v7_devw120,36969,36970,36971,1673902200,1673902500,2.1837,2.2372596780831637,-0.02473985758910766,-0.02473985758910766,2.930724982264349,False,stop,11535,141.519133376963,0.01,0.0004
APT,short,short_max_v7_devw120,25733,25734,25753,1673897400,1673903100,8.4743,8.484675516073537,-0.0020228536087068863,-0.0020228536087068863,2.481086684608237,False,stop,11534,141.51626994365714,0.01,0.0004
NEAR,short,short_max_v7_devw120,236957,236958,237110,1673868600,1673914200,2.421,2.0761410600903436,0.16530573652189587,0.16530573652189587,2.5115052039815757,False,target,11524,141.74977215214648,0.01,0.0004
BAND,short,short_max_v7_devw120,259433,259434,259634,1673868600,1673928600,2.0019,1.9093,0.047699450060231595,0.047699450060231595,2.4052123120949958,False,fail_fast_or_timeout,11525,141.8171498921278,0.01,0.0004
LRC,short,short_max_v7_devw120,236008,236009,236019,1673926200,1673929200,0.2983,0.29863870911832285,-0.0019341768765436021,-0.0019341768765436021,3.413463995243418,False,stop,11538,141.81440820081227,0.01,0.0004
ALPHA,short,short_max_v7_devw120,225955,225956,225964,1673934000,1673936400,0.11454,0.11466901135681531,-0.0019250760365750789,-0.0019250760365750789,3.8561726776682157,False,stop,11539,141.8116781656236,0.01,0.0004
SOL,short,short_max_v7_devw120,245952,245953,246153,1673885100,1673945100,24.895,23.591,0.0544753168581237,0.0544753168581237,2.3955598097593898,False,fail_fast_or_timeout,11532,141.8885907106228,0.01,0.0004
