symbol,file,bars,raw_duration_events,kept_failure_rows,first_ts,last_ts
DAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAR_5m.csv,389930,418,2060,2022-04-29 12:30:00,2026-01-12 10:35:00
DASH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DASH_5m.csv,624649,768,3780,2020-02-04 17:05:00,2026-01-12 15:05:00
DEEP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEEP_5m.csv,74447,92,440,2025-04-22 17:30:00,2026-01-12 07:00:00
DEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEFI_5m.csv,565318,413,2010,2020-08-28 16:00:00,2026-01-12 13:45:00
DEGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGEN_5m.csv,119927,154,755,2024-11-15 20:30:00,2026-01-12 07:30:00
DEGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGO_5m.csv,111839,153,765,2024-12-13 22:15:00,2026-01-12 07:25:00
DENT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DENT_5m.csv,505428,555,2745,2021-03-24 13:00:00,2026-01-12 11:55:00
DEXE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEXE_5m.csv,108690,152,750,2024-12-24 20:30:00,2026-01-12 07:20:00
DF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DF_5m.csv,106959,123,600,2024-12-30 20:45:00,2026-01-12 07:20:00
DGB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DGB_5m.csv,497367,279,1355,2021-04-21 12:30:00,2026-01-12 11:40:00
DIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DIA_5m.csv,132590,204,1015,2024-10-02 21:30:00,2026-01-12 07:40:00
