run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,comp_n,atr_ratio_max,range_ratio_max,body_ratio_max,vol_ratio_max,release_range_min,release_body_min,release_vol_min,close_pos_min,upper_wick_max,ret1_min,ret20_min,ret60_min,ret20_max,ret60_max,atrp_min,atrp_max,range20_max,range60_max,rsi_min,rsi_max,ema20_min,ema50_min,ema100_min,stop_atr,rr,hold,cooldown,fail_bars,fail_pnl,verdict,note
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_036,volume_contraction_release,volume_quiet_then_release,long,15690,5065,10625,32.2817080943276,-14.018363799566757,0.0,38.937282047493994,61.062717952506006,597,0,0.01,0.0004,0.08,CR21_D_036,48,0.9,0.95,0.85,0.75,1.15,0.55,1.6,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_037,volume_contraction_release,volume_quiet_then_release,long,93792,30499,63293,32.51769873763221,-59.710997695301735,0.0,94.69724466577941,5.302755334220588,597,0,0.01,0.0004,0.08,CR21_D_037,48,0.9,0.95,0.85,0.9,1.15,0.55,1.0,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_038,volume_contraction_release,volume_quiet_then_release,long,65723,21246,44477,32.32658277924014,-47.84777377260154,0.0,87.12334817650633,12.87665182349368,597,0,0.01,0.0004,0.08,CR21_D_038,48,0.9,0.95,0.85,0.9,1.15,0.55,1.25,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_D_039,volume_contraction_release,volume_quiet_then_release,long,37639,12130,25509,32.227211137384096,-31.331458567481008,0.0,68.53190226554776,31.46809773445224,597,0,0.01,0.0004,0.08,CR21_D_039,48,0.9,0.95,0.85,0.9,1.15,0.55,1.6,0.58,0.62,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.85,2.0,12,24,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_E_040,conservative_release_quality,close_quality_upper_wick_limit,long,16182,5722,10460,35.360276850821904,-12.840530111167292,0.0,37.59787064607433,62.40212935392567,597,0,0.01,0.0004,0.08,CR21_E_040,48,0.82,0.82,0.85,0.92,1.15,0.55,1.05,0.6,0.45,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.75,1.8,12,36,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_E_041,conservative_release_quality,close_quality_upper_wick_limit,long,16182,5722,10460,35.360276850821904,-12.840530111167292,0.0,37.59787064607433,62.40212935392567,597,0,0.01,0.0004,0.08,CR21_E_041,48,0.82,0.82,0.85,0.92,1.15,0.55,1.05,0.6,0.55,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.75,1.8,12,36,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_E_042,conservative_release_quality,close_quality_upper_wick_limit,long,16182,5722,10460,35.360276850821904,-12.840530111167292,0.0,37.59787064607433,62.40212935392567,597,0,0.01,0.0004,0.08,CR21_E_042,48,0.82,0.82,0.85,0.92,1.15,0.55,1.05,0.6,0.65,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.75,1.8,12,36,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_E_043,conservative_release_quality,close_quality_upper_wick_limit,long,14432,5105,9327,35.37278270509977,-11.264697127358792,0.0,34.32369659468907,65.67630340531093,597,0,0.01,0.0004,0.08,CR21_E_043,48,0.82,0.82,0.85,0.92,1.15,0.55,1.05,0.68,0.45,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.75,1.8,12,36,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_E_044,conservative_release_quality,close_quality_upper_wick_limit,long,14432,5105,9327,35.37278270509977,-11.264697127358792,0.0,34.32369659468907,65.67630340531093,597,0,0.01,0.0004,0.08,CR21_E_044,48,0.82,0.82,0.85,0.92,1.15,0.55,1.05,0.68,0.55,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.75,1.8,12,36,5,-0.42,invalid_no_peak,max_return <= 0
LONG_COMPRESSION_RELEASE_V21_1H,CR21_E_045,conservative_release_quality,close_quality_upper_wick_limit,long,14432,5105,9327,35.37278270509977,-11.264697127358792,0.0,34.32369659468907,65.67630340531093,597,0,0.01,0.0004,0.08,CR21_E_045,48,0.82,0.82,0.85,0.92,1.15,0.55,1.05,0.68,0.65,-0.002,-0.12,-0.25,0.16,0.32,0.001,0.075,0.24,0.44,28,72,0.86,0.78,0.68,0.75,1.8,12,36,5,-0.42,invalid_no_peak,max_return <= 0
