symbol,file,bars,kept_event_horizon_rows,first_ts,last_ts
BANANAS31,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANANAS31_5m.csv,83369,29764,2025-03-22 18:15:00,2026-01-12 07:10:00
BAND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAND_5m.csv,573961,249572,2020-07-29 16:00:00,2026-01-12 14:00:00
BANK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BANK_5m.csv,75479,32072,2025-04-19 03:30:00,2026-01-12 07:00:00
BARD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BARD_5m.csv,31500,13592,2025-09-18 20:00:00,2026-01-12 06:40:00
BAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAS_5m.csv,38095,15640,2025-08-26 22:30:00,2026-01-12 06:45:00
BAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BAT_5m.csv,622053,281176,2020-02-13 17:05:00,2026-01-12 14:45:00
BB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BB_5m.csv,173497,71048,2024-05-13 21:30:00,2026-01-12 08:05:00
BCH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BCH_5m.csv,638181,273300,2019-12-19 17:55:00,2026-01-12 15:35:00
BDXN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BDXN_5m.csv,62325,26104,2025-06-03 19:30:00,2026-01-12 06:55:00
BEAMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAMX_5m.csv,224764,99644,2023-11-17 22:30:00,2026-01-12 08:40:00
BEAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAT_5m.csv,15649,5740,2025-11-18 22:35:00,2026-01-12 06:35:00
BEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEL_5m.csv,541691,228112,2020-11-18 16:00:00,2026-01-12 12:50:00
BERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BERA_5m.csv,95974,40128,2025-02-07 00:00:00,2026-01-12 07:15:00
BICO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BICO_5m.csv,239186,101740,2023-09-28 21:30:00,2026-01-12 09:05:00
BID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BID_5m.csv,83942,32788,2025-03-20 18:30:00,2026-01-12 07:10:00
BIGTIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIGTIME_5m.csv,235129,95476,2023-10-12 23:30:00,2026-01-12 09:00:00
BIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIO_5m.csv,105800,40740,2025-01-03 21:15:00,2026-01-12 07:20:00
BLESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLESS_5m.csv,30078,11916,2025-09-23 18:30:00,2026-01-12 06:40:00
BLUAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUAI_5m.csv,21989,9540,2025-10-21 20:30:00,2026-01-12 06:35:00
BLUR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUR_5m.csv,283270,119360,2023-04-28 21:00:00,2026-01-12 09:40:00
BLZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLZ_5m.csv,559553,203748,2020-09-17 16:00:00,2026-01-12 13:20:00
BMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BMT_5m.csv,84758,34996,2025-03-17 22:30:00,2026-01-12 07:10:00
BNB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNB_5m.csv,622920,279260,2020-02-10 17:00:00,2026-01-12 14:55:00
BNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNT_5m.csv,253307,101064,2023-08-10 21:00:00,2026-01-12 09:15:00
BNX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNX_5m.csv,303676,86336,2023-02-22 23:45:00,2026-01-12 10:00:00
BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOB_5m.csv,14819,5608,2025-11-21 19:45:00,2026-01-12 06:35:00
BOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOME_5m.csv,190203,73680,2024-03-16 21:30:00,2026-01-12 08:10:00
BOND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOND_5m.csv,234264,50268,2023-10-15 23:30:00,2026-01-12 09:00:00
