symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
1000PEPE,short,short_max_v7_devw120,547,548,556,1767390000,1767392400,0.0056621,0.005670809996432583,-0.002335935155306256,-0.002335935155306256,4.141349043763308,False,stop,140,102.63099618764421,0.01,0.0004
RIVER,short,short_max_v7_devw120,556,557,560,1767392700,1767393600,13.867,14.452033523744795,-0.041281052218954485,-0.041281052218954485,2.6934031325093057,False,stop,144,102.58862903251516,0.01,0.0004
AIXBT,short,short_max_v7_devw120,362,363,563,1767334500,1767394500,0.04124,0.03895,0.05799332477535293,0.05799332477535293,3.9466167542272776,False,fail_fast_or_timeout,115,102.64775684202107,0.01,0.0004
MEME,short,short_max_v7_devw120,566,567,569,1767395700,1767396300,0.001193,0.0012207434060820047,-0.02352664832247384,-0.02352664832247384,2.934875661456917,False,stop,145,102.62360726525793,0.01,0.0004
RIVER,short,short_max_v7_devw120,575,576,583,1767398400,1767400500,14.959,15.662359677420312,-0.04570764430817618,-0.04570764430817618,2.7615580213589594,False,stop,146,102.57670043187291,0.01,0.0004
RIVER,short,short_max_v7_devw120,584,585,593,1767401100,1767403500,15.977,16.02559206143849,-0.0038321538981025186,-0.0038321538981025186,3.0758932466166566,False,stop,147,102.57276953484876,0.01,0.0004
LAB,short,short_max_v7_devw120,592,593,595,1767403500,1767404100,0.12243,0.12472633675158319,-0.019211001328106023,-0.019211001328106023,3.229558773465242,False,stop,148,102.55306427873114,0.01,0.0004
BDXN,short,short_max_v7_devw120,597,598,600,1767405000,1767405600,0.01601,0.01638450808980947,-0.02365745093820679,-0.02365745093820679,3.7721513420072785,False,stop,150,102.52880283786378,0.01,0.0004
PIEVERSE,short,short_max_v7_devw120,596,597,601,1767404700,1767405900,0.6777,0.7052234680296442,-0.03982800924442185,-0.03982800924442185,4.047571822930045,False,stop,149,102.4879579939424,0.01,0.0004
1000PEPE,short,short_max_v7_devw120,598,599,607,1767405300,1767407700,0.0059378,0.005946613135826685,-0.0022820429083554076,-0.0022820429083554076,2.9762390660336386,False,stop,151,102.48561768901173,0.01,0.0004
IRYS,short,short_max_v7_devw120,606,607,609,1767407700,1767408300,0.028213,0.028860559874460876,-0.023237536807243695,-0.023237536807243695,3.937281060782981,False,stop,155,102.46180255587912,0.01,0.0004
PIEVERSE,short,short_max_v7_devw120,605,606,614,1767407400,1767409800,0.7181,0.7198296793706135,-0.003202900880838721,-0.003202900880838721,3.641525124172568,False,stop,154,102.45851996816978,0.01,0.0004
SAPIEN,short,short_max_v7_devw120,610,611,619,1767408900,1767411300,0.15659,0.1568719381427307,-0.002597250330866529,-0.002597250330866529,2.645698585802414,False,stop,156,102.45585877866388,0.01,0.0004
BULLA,short,short_max_v7_devw120,604,605,620,1767407100,1767411600,0.05469,0.054769412168893576,-0.0022499364836834116,-0.0022499364836834116,4.0306026017740635,False,stop,153,102.4535528647056,0.01,0.0004
PIEVERSE,short,short_max_v7_devw120,619,620,626,1767411600,1767413400,0.745,0.7801203781116094,-0.04581917793331223,-0.04581917793331223,2.6346117381241134,False,stop,159,102.40660948901952,0.01,0.0004
CKB,short,short_max_v7_devw120,600,601,636,1767405900,1767416400,0.002644,0.002646906624108348,-0.0018981211357719011,-0.0018981211357719011,3.0568553396889735,False,stop,152,102.40466414342721,0.01,0.0004
STABLE,short,short_max_v7_devw120,634,635,638,1767416100,1767417000,0.016594,0.017072434634125225,-0.028823808225272394,-0.028823808225272394,2.6648174264876574,False,stop,163,102.3751466586981,0.01,0.0004
PIEVERSE,short,short_max_v7_devw120,633,634,642,1767415800,1767418200,0.8461,0.84863945283448,-0.0037923813063347237,-0.0037923813063347237,3.5887996820619326,False,stop,162,102.37126300958339,0.01,0.0004
