acceptance_rate_pct,final_asset,final_return_pct,max_drawdown_pct,max_gross_exposure_pct,max_open_positions,max_return_pct,model,official_cd_value,peak_asset,profit_factor,trades,trades_accepted,trades_requested,trades_skipped,window
,448401.8627085657,448301.8627085658,6.035556309029067,,,448301.8627085658,CURRENT_INVERSE_EXIT_COMPOUND,421338.31579405506,448401.8627085657,1.9953667122137084,217114,,,,ALL_TO_2026_END
,23080.390596849447,22980.390596849447,6.152159250344836,,,22980.390596849447,LINEAR_FIXED_FEE_EXIT_COMPOUND,21660.448211729654,23080.390596849447,1.6251579172081132,217114,,,,ALL_TO_2026_END
,23146.653575293007,23046.653575293007,6.154295268930243,,,23046.653575293007,LINEAR_EXACT_FEE_EXIT_COMPOUND,21722.14016939308,23146.653575293007,1.6252841170399384,217114,,,,ALL_TO_2026_END
,41.29939309257789,-58.70060690742211,62.30076774335258,,,2.1042112179027406,LINEAR_GAPSTOP_EXACT_FEE_EXIT_COMPOUND,15.569554122556738,102.10421121790274,0.9420452569039688,217114,,,,ALL_TO_2026_END
100.0,375720.9703520811,375620.9703520811,6.1568679102626644,320.2188978834664,319,375620.9703520811,CURRENT_INVERSE_ENTRY_STAKE_UNBOUNDED,352588.32649634633,375720.9703520811,,,217114,217114,0,ALL_TO_2026_END
100.0,20889.292850094596,20789.292850094596,6.280674308077749,320.2800181697518,319,20789.292850094596,LINEAR_EXACT_ENTRY_STAKE_UNBOUNDED,19577.304400919584,20889.292850094596,,,217114,217114,0,ALL_TO_2026_END
100.0,39.17234106113482,-60.82765893886517,64.16236462280021,321.33687181971493,319,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_UNBOUNDED,14.038440758202611,102.08776833623187,,,217114,217114,0,ALL_TO_2026_END
96.79016553515665,46.78505565044626,-53.21494434955374,57.7053665909018,99.99806376738839,100,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_100PCT,19.78756777759883,102.08776833623187,,,210145,217114,6969,ALL_TO_2026_END
99.41919913041075,39.11600664294643,-60.88399335705357,64.21390334332406,199.9922196307483,200,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_200PCT,13.99809194547659,102.08776833623187,,,215853,217114,1261,ALL_TO_2026_END
99.98618237423658,38.81366440521426,-61.186335594785746,64.49050746198172,299.33687181971453,299,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_GROSS_CAP_300PCT,13.782535265701014,102.08776833623187,,,217084,217114,30,ALL_TO_2026_END
92.79779286457806,56.33123280553997,-43.66876719446003,49.572730736785196,51.17817277308795,50,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_50,28.406302446138035,102.08776833623187,,,201477,217114,15637,ALL_TO_2026_END
96.83392135007416,46.53632546417219,-53.463674535827806,57.91729213480077,101.09709966969469,100,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_100,19.583745896285905,102.08776833623187,,,210240,217114,6874,ALL_TO_2026_END
99.43762263142865,39.046288470079,-60.953711529920994,64.27768647169256,203.15351980575983,200,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_200,13.948237588448979,102.08776833623187,,,215893,217114,1221,ALL_TO_2026_END
99.98802472433836,38.941756985114566,-61.05824301488543,64.3733192866359,302.3368718197146,300,2.0877683362318766,LINEAR_GAPSTOP_ENTRY_STAKE_MAXPOS_300,13.873655425260932,102.08776833623187,,,217088,217114,26,ALL_TO_2026_END
