run_label,strategy,family,tag,side,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,symbol_files,errors,position_fraction,fee_per_side,cost_pct_round_trip,name,rsi_max,ema20_min,ret20_min,ret60_min,block_ret3_max,block_ret12_max,block_atr_spike_max,block_vol_spike_max,block_range_atr_max,block_upper_max,atrp_max,range20_max,stop_atr,rr,hold,cooldown,verdict,note
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_034,base_state,state_filter,long,4771713,1589009,3182704,33.30059875772076,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_034,74,0.8,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_035,base_state,state_filter,long,4771713,1589009,3182704,33.30059875772076,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_035,74,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_D_036,base_state,state_filter,long,4771713,1589009,3182704,33.30059875772076,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_D_036,74,0.88,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_037,exit_light,exit_grid,long,5174930,1934541,3240389,37.38294044557124,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_037,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.7,1.6,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_038,exit_light,exit_grid,long,5031388,1649876,3381512,32.791667031045904,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_038,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.7,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_039,exit_light,exit_grid,long,4862845,1380710,3482135,28.39304974762716,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_039,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.7,2.6,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_040,exit_light,exit_grid,long,4908509,1839557,3068952,37.476899808067984,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_040,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,1.6,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_041,exit_light,exit_grid,long,4754425,1583708,3170717,33.31018998091252,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_041,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_042,exit_light,exit_grid,long,4591848,1370688,3221160,29.850465433524803,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_042,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,0.85,2.6,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_043,exit_light,exit_grid,long,4668529,1754825,2913704,37.588392403688616,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_043,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,1.0,1.6,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_044,exit_light,exit_grid,long,4518905,1539654,2979251,34.07139561464558,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_044,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,1.0,2.0,12,12,invalid_ruin,MDD >= 100
LONG_NEGATIVE_FILTER_V23_LIGHT_1H,NF23L_E_045,exit_light,exit_grid,long,4378456,1381299,2997157,31.547627748229058,-100.0,0.0,100.0,0.0,597,158,0.01,0.0004,0.08,NF23L_E_045,72,0.84,-0.16,-0.32,0.07,0.16,2.0,4.0,4.0,0.8,0.095,0.34,1.0,2.6,12,12,invalid_ruin,MDD >= 100
