spec,scenario,period,bucket,start_equity,end_equity,return_pct,peak_equity,min_equity,max_drawdown_pct,marks
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2022Q2,58.28799932329376,71.00353991949082,21.815023236036033,73.24052919517771,57.82183715511667,-14.845086228891557,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2022Q3,71.01244002786234,73.27116460331426,3.1807449153496092,73.76047788981002,64.78964830657247,-9.477201232337384,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2022Q4,73.23124319080536,80.96483733968482,10.560511896171754,81.06822554372258,68.75478484121204,-8.76840645023471,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2023Q1,80.9465025376942,73.68531420092079,-8.970354628221411,81.24266635716377,70.36490852832814,-13.389218149259396,25920
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2023Q2,73.61959732346382,78.407898911469,6.504112711954568,82.43704681906071,70.12493349053963,-6.887817397384222,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2023Q3,78.37604639055125,74.86664170261596,-4.477649549261232,81.28287362512748,74.5926370288134,-8.230807177375532,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2023Q4,74.90965581308201,59.20273058831199,-20.9678245805356,75.51069377297587,57.953359525218644,-23.25145402655634,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2024Q1,59.16529413173551,48.40863629745599,-18.180688513656495,63.359166009704246,47.23449685976423,-25.449623417502565,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2024Q2,48.43104430147205,53.976524387760406,11.450259159742714,54.27709539089209,48.05904339820916,-7.8528207326989286,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2024Q3,53.96744580673964,50.82304477996689,-5.826477387929419,57.85200258018378,49.86594744016918,-13.804284698607972,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2024Q4,50.76396191367776,48.13331611941476,-5.1821128515073696,53.814224195432736,45.42668036141743,-15.586109359404576,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2025Q1,48.1221909369453,59.47269039393886,23.586830183742393,60.14758698467682,45.50898292338476,-7.93944514292122,25920
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2025Q2,59.4222013308636,54.49297406649986,-8.295261962642108,65.28768641585508,48.16511532489539,-26.226340725104148,26208
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2025Q3,54.45514953173052,43.55452631263437,-20.017616906449685,54.67971614638455,41.371919061026944,-24.337721596306285,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,PRE_2025Q4,2025Q4,43.65390900894365,42.95729409462271,-1.5957675501138247,43.85752975139758,42.928066590735654,-2.119278413377368,143
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,ONLY_2025Q4,2025Q4,99.98679961603511,114.33411780153516,14.349212336624406,118.00562292426298,87.25753766921339,-19.281977496019508,26496
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,ONLY_2025Q4,2026Q1,114.50298236739741,112.93902696771237,-1.3658643358885558,114.9375310533415,112.31270638458332,-2.2836967565799005,133
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_cap50,2026_ENTRY_ONLY,2026Q1,100.00131664020766,99.03967023302125,-0.9616337459298574,100.49575931170733,94.74550622548767,-5.721886302071832,3343
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,BASE,2019Q4,99.99633108560754,99.96392281746405,-0.032409457218729454,100.05123753625381,99.90137683732058,-0.14978395332583272,3203
btc_rb_z4_gap1_cd144_h144_k1_short,btc_rb_z4_gap1_cd144_h144_k1_short_capnone,BASE,2020Q1,99.98973959671889,102.13953130042279,2.15001230363685,103.85554871930557,97.62550720377239,-3.251201485914701,21862
