profile,symbol,rows,raw_events,selected_trades,first_entry,last_exit
bear_range25_body08_vol15_cp20,ALPINE,70400,132,115,2025-05-13 03:50:00,2026-01-11 05:10:00
bear_range25_body08_vol15_cp20,ALT,204879,268,242,2024-01-27 15:45:00,2026-01-11 07:15:00
bear_range25_body08_vol15_cp20,AMB,291624,303,270,2023-04-03 10:45:00,2025-02-20 21:10:00
bear_range25_body08_vol15_cp20,ANIME,99982,110,98,2025-01-26 01:10:00,2026-01-10 19:00:00
bear_range25_body08_vol15_cp20,ANKR,521815,1012,870,2021-01-27 17:10:00,2026-01-11 13:50:00
bear_range25_body08_vol15_cp20,APE,402178,570,499,2022-03-20 18:30:00,2026-01-11 08:50:00
bear_range25_body08_vol15_cp20,API3,408941,753,649,2022-02-26 12:15:00,2026-01-11 08:50:00
bear_range25_body08_vol15_cp20,APR,21425,35,31,2025-10-25 14:50:00,2026-01-10 21:45:00
bear_range25_body08_vol15_cp20,APT,340122,421,382,2022-10-20 21:40:00,2026-01-12 06:45:00
bear_range25_body08_vol15_cp20,AR,451281,849,721,2021-09-30 04:00:00,2026-01-09 23:00:00
bear_range25_body08_vol15_cp20,ARB,293607,401,349,2023-03-25 05:30:00,2026-01-11 08:50:00
bear_range25_body08_vol15_cp20,ARC,101758,129,123,2025-01-20 21:10:00,2026-01-08 11:25:00
bear_range25_body08_vol15_cp20,ARIA,35819,81,69,2025-09-08 22:35:00,2026-01-11 21:50:00
bear_range25_body08_vol15_cp20,ARK,241755,453,390,2023-09-21 17:05:00,2026-01-11 21:35:00
bear_range25_body08_vol15_cp20,ARKM,257165,260,244,2023-07-30 09:45:00,2026-01-12 06:45:00
bear_range25_body08_vol15_cp20,ARPA,445232,820,711,2021-10-20 19:30:00,2026-01-09 23:45:00
bear_range25_body08_vol15_cp20,ASR,70403,116,100,2025-05-13 09:15:00,2026-01-08 18:40:00
bear_range25_body08_vol15_cp20,ASTER,31200,37,34,2025-09-22 01:40:00,2026-01-09 16:30:00
