symbol,file,rows,valid_returns,market_group,is_btc_candidate,elapsed_seconds
MANA,MANA_5m.csv,507987,507986,8,False,1.5600857734680176
MANTA,MANTA_5m.csv,206895,206893,1,False,0.6031615734100342
MASK,MASK_5m.csv,460500,460499,6,False,1.0831587314605713
MAV,MAV_5m.csv,265408,265406,2,False,0.6441347599029541
MAVIA,MAVIA_5m.csv,82122,82120,3,False,0.2238023281097412
MBOX,MBOX_5m.csv,142711,142709,2,False,0.32775020599365234
MDT,MDT_5m.csv,265120,265118,3,False,0.607994556427002
ME,ME_5m.csv,112657,112655,9,False,0.28169870376586914
MELANIA,MELANIA_5m.csv,100936,100934,13,False,0.24547457695007324
MEME,MEME_5m.csv,228817,228815,6,False,0.5914063453674316
MEMEFI,MEMEFI_5m.csv,73598,73596,9,False,0.20702528953552246
MERL,MERL_5m.csv,63789,63787,6,False,0.17123937606811523
MET,MET_5m.csv,24857,24855,0,False,0.07476520538330078
METIS,METIS_5m.csv,191404,191402,9,False,0.45997166633605957
MEW,MEW_5m.csv,163396,163394,6,False,0.4450817108154297
MILK,MILK_5m.csv,70352,70350,7,False,0.19087624549865723
MINA,MINA_5m.csv,308043,308042,0,False,0.7908914089202881
MIRA,MIRA_5m.csv,29184,29182,0,False,0.10469198226928711
MITO,MITO_5m.csv,37483,37481,3,False,0.10889959335327148
MKR,MKR_5m.csv,569639,569638,5,False,1.4876675605773926
MLN,MLN_5m.csv,80782,80780,12,False,0.2510390281677246
MMT,MMT_5m.csv,15649,15648,9,False,0.06561708450317383
MOCA,MOCA_5m.csv,110996,110994,9,False,0.2717583179473877
MON,MON_5m.csv,25208,25206,9,False,0.07864928245544434
MOODENG,MOODENG_5m.csv,125996,125994,4,False,0.31928086280822754
MORPHO,MORPHO_5m.csv,116433,116431,11,False,0.29103994369506836
MOVE,MOVE_5m.csv,112982,112980,0,False,0.28662633895874023
MOVR,MOVR_5m.csv,213540,213538,1,False,0.5598022937774658
MTL,MTL_5m.csv,503375,503374,11,False,1.2123289108276367
MUBARAK,MUBARAK_5m.csv,84755,84753,4,False,0.2732396125793457
MYRO,MYRO_5m.csv,193421,193419,0,False,0.4510042667388916
MYX,MYX_5m.csv,57980,57978,2,False,0.14470362663269043
NAORIS,NAORIS_5m.csv,45594,45592,6,False,0.11998271942138672
NEAR,NEAR_5m.csv,551474,551473,12,False,1.4399034976959229
NEIRO,NEIRO_5m.csv,137213,137211,13,False,0.4037637710571289
NEIROETH,NEIROETH_5m.csv,140064,140062,9,False,0.36229443550109863
NEO,NEO_5m.csv,620891,620890,4,False,1.8718926906585693
NEWT,NEWT_5m.csv,57668,57666,1,False,0.1931600570678711
NFP,NFP_5m.csv,213240,213238,2,False,0.6697134971618652
NIL,NIL_5m.csv,82748,82746,2,False,0.24546432495117188
NKN,NKN_5m.csv,500782,500781,4,False,1.4721803665161133
NMR,NMR_5m.csv,267424,267422,13,False,0.6782054901123047
NOM,NOM_5m.csv,27792,27790,12,False,0.09851264953613281
NOT,NOT_5m.csv,172614,172612,1,False,0.41742444038391113
NTRN,NTRN_5m.csv,225647,225645,6,False,0.5351715087890625
NULS,NULS_5m.csv,143299,143297,1,False,0.34636664390563965
NXPC,NXPC_5m.csv,67845,67843,1,False,0.1759357452392578
OBOL,OBOL_5m.csv,70103,70101,1,False,0.17097020149230957
OCEAN,OCEAN_5m.csv,546012,546011,9,False,1.3192298412322998
OG,OG_5m.csv,68679,68677,10,False,0.19496941566467285
OGN,OGN_5m.csv,503086,503085,6,False,1.2066271305084229
OL,OL_5m.csv,55976,55974,13,False,0.1582474708557129
OM,OM_5m.csv,199405,199403,10,False,0.49202942848205566
OMG,OMG_5m.csv,581715,581714,7,False,1.4656801223754883
OMNI,OMNI_5m.csv,180966,180964,4,False,0.45788002014160156
ON,ON_5m.csv,15648,15647,1,False,0.0767359733581543
ONDO,ONDO_5m.csv,206331,206329,8,False,0.5244340896606445
ONE,ONE_5m.csv,507122,507121,8,False,1.6814894676208496
ONG,ONG_5m.csv,221888,221886,1,False,0.5866425037384033
ONT,ONT_5m.csv,622630,622629,7,False,1.9298217296600342
OP,OP_5m.csv,380300,380299,10,False,1.046354055404663
OPEN,OPEN_5m.csv,34356,34354,6,False,0.11116623878479004
ORBS,ORBS_5m.csv,233790,233788,12,False,0.5536684989929199
ORCA,ORCA_5m.csv,113835,113833,9,False,0.28371739387512207
ORDER,ORDER_5m.csv,29175,29173,8,False,0.09442520141601562
ORDI,ORDI_5m.csv,227658,227656,13,False,0.5482120513916016
OXT,OXT_5m.csv,253018,253016,1,False,0.6235964298248291
PARTI,PARTI_5m.csv,82459,82457,5,False,0.22202825546264648
PAXG,PAXG_5m.csv,81912,81910,9,False,0.18828749656677246
PENDLE,PENDLE_5m.csv,257167,257165,6,False,0.6364130973815918
PENGU,PENGU_5m.csv,110650,110648,14,False,0.29895520210266113
PEOPLE,PEOPLE_5m.csv,426217,426216,7,False,1.0954179763793945
PERP,PERP_5m.csv,300252,300251,10,False,0.7347326278686523
PHA,PHA_5m.csv,106962,106960,0,False,0.2835092544555664
PHB,PHB_5m.csv,305408,305407,6,False,0.7955670356750488
PIEVERSE,PIEVERSE_5m.csv,15649,15648,0,False,0.07974839210510254
PIPPIN,PIPPIN_5m.csv,99775,99773,10,False,0.26012420654296875
PIXEL,PIXEL_5m.csv,197664,197662,7,False,0.4857747554779053
PLAY,PLAY_5m.csv,45630,45628,2,False,0.12953495979309082
PLUME,PLUME_5m.csv,83612,83610,3,False,0.21944808959960938
PNUT,PNUT_5m.csv,121067,121065,1,False,0.306842565536499
POL,POL_5m.csv,138068,138066,8,False,0.36663293838500977
POLYX,POLYX_5m.csv,231526,231524,12,False,0.5706436634063721
PONKE,PONKE_5m.csv,123084,123082,12,False,0.31365203857421875
