spec,factor,profile,horizon,scenario,top_k,max_concurrent_cap,period,raw_selected_before_cap,selected_after_cap
btc__rolling_beta__z4__positive_residual__short_reversion__h72,btc,z4,72,K10_cap50_2026_ENTRY_ONLY,10,50,2026_ENTRY_ONLY,3389,2097
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_nocap_BASE,1,0,BASE,183492,183492
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_nocap_EX_2025Q4,1,0,EX_2025Q4,167630,167630
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_nocap_PRE_2025Q4,1,0,PRE_2025Q4,165446,165446
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_nocap_ONLY_2025Q4,1,0,ONLY_2025Q4,15862,15862
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_nocap_2026_ENTRY_ONLY,1,0,2026_ENTRY_ONLY,2184,2184
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap20_BASE,1,20,BASE,183492,132759
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap20_EX_2025Q4,1,20,EX_2025Q4,167630,125652
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap20_PRE_2025Q4,1,20,PRE_2025Q4,165446,124755
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap20_ONLY_2025Q4,1,20,ONLY_2025Q4,15862,7116
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap20_2026_ENTRY_ONLY,1,20,2026_ENTRY_ONLY,2184,897
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap50_BASE,1,50,BASE,183492,182724
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap50_EX_2025Q4,1,50,EX_2025Q4,167630,167337
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap50_PRE_2025Q4,1,50,PRE_2025Q4,165446,165269
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap50_ONLY_2025Q4,1,50,ONLY_2025Q4,15862,15389
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K1_cap50_2026_ENTRY_ONLY,1,50,2026_ENTRY_ONLY,2184,2068
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_nocap_BASE,3,0,BASE,274122,274122
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_nocap_EX_2025Q4,3,0,EX_2025Q4,245972,245972
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_nocap_PRE_2025Q4,3,0,PRE_2025Q4,241934,241934
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_nocap_ONLY_2025Q4,3,0,ONLY_2025Q4,28150,28150
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_nocap_2026_ENTRY_ONLY,3,0,2026_ENTRY_ONLY,4038,4038
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap20_BASE,3,20,BASE,274122,140307
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap20_EX_2025Q4,3,20,EX_2025Q4,245972,133135
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap20_PRE_2025Q4,3,20,PRE_2025Q4,241934,132235
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap20_ONLY_2025Q4,3,20,ONLY_2025Q4,28150,7178
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap20_2026_ENTRY_ONLY,3,20,2026_ENTRY_ONLY,4038,900
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap50_BASE,3,50,BASE,274122,239544
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap50_EX_2025Q4,3,50,EX_2025Q4,245972,222502
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap50_PRE_2025Q4,3,50,PRE_2025Q4,241934,220292
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap50_ONLY_2025Q4,3,50,ONLY_2025Q4,28150,17058
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K3_cap50_2026_ENTRY_ONLY,3,50,2026_ENTRY_ONLY,4038,2210
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_nocap_BASE,5,0,BASE,302486,302486
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_nocap_EX_2025Q4,5,0,EX_2025Q4,270045,270045
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_nocap_PRE_2025Q4,5,0,PRE_2025Q4,265328,265328
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_nocap_ONLY_2025Q4,5,0,ONLY_2025Q4,32441,32441
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_nocap_2026_ENTRY_ONLY,5,0,2026_ENTRY_ONLY,4717,4717
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap20_BASE,5,20,BASE,302486,140846
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap20_EX_2025Q4,5,20,EX_2025Q4,270045,133670
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap20_PRE_2025Q4,5,20,PRE_2025Q4,265328,132771
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap20_ONLY_2025Q4,5,20,ONLY_2025Q4,32441,7180
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap20_2026_ENTRY_ONLY,5,20,2026_ENTRY_ONLY,4717,899
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap50_BASE,5,50,BASE,302486,249179
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap50_EX_2025Q4,5,50,EX_2025Q4,270045,232066
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap50_PRE_2025Q4,5,50,PRE_2025Q4,265328,229853
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap50_ONLY_2025Q4,5,50,ONLY_2025Q4,32441,17130
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K5_cap50_2026_ENTRY_ONLY,5,50,2026_ENTRY_ONLY,4717,2213
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_nocap_BASE,10,0,BASE,330818,330818
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_nocap_EX_2025Q4,10,0,EX_2025Q4,294725,294725
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_nocap_PRE_2025Q4,10,0,PRE_2025Q4,289499,289499
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_nocap_ONLY_2025Q4,10,0,ONLY_2025Q4,36093,36093
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_nocap_2026_ENTRY_ONLY,10,0,2026_ENTRY_ONLY,5226,5226
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap20_BASE,10,20,BASE,330818,140911
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap20_EX_2025Q4,10,20,EX_2025Q4,294725,133743
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap20_PRE_2025Q4,10,20,PRE_2025Q4,289499,132845
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap20_ONLY_2025Q4,10,20,ONLY_2025Q4,36093,7171
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap20_2026_ENTRY_ONLY,10,20,2026_ENTRY_ONLY,5226,898
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap50_BASE,10,50,BASE,330818,255989
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap50_EX_2025Q4,10,50,EX_2025Q4,294725,238859
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap50_PRE_2025Q4,10,50,PRE_2025Q4,289499,236652
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap50_ONLY_2025Q4,10,50,ONLY_2025Q4,36093,17146
btc__rolling_beta__z3_abs050__positive_residual__short_reversion__h72,btc,z3_abs050,72,K10_cap50_2026_ENTRY_ONLY,10,50,2026_ENTRY_ONLY,5226,2207
