symbol,file,bars,raw_bear_displacements,confirmed_events_before_horizon_expand,kept_event_horizon_rows,first_ts,last_ts
KLAY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KLAY_5m.csv,447249,17593,85637,342548,2021-10-12 12:30:00,2026-01-12 11:10:00
KMNO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KMNO_5m.csv,109753,6442,30454,121816,2024-12-21 04:00:00,2026-01-12 07:20:00
KNC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KNC_5m.csv,584599,34444,170483,681932,2020-06-22 17:50:00,2026-01-12 14:20:00
KOMA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KOMA_5m.csv,112715,5800,27646,110584,2024-12-10 21:15:00,2026-01-12 07:25:00
KSM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\KSM_5m.csv,551774,31351,157948,631792,2020-10-14 16:00:00,2026-01-12 13:05:00
LA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LA_5m.csv,61766,2926,14608,58432,2025-06-05 18:00:00,2026-01-12 06:50:00
LAB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LAB_5m.csv,23105,1251,6214,24856,2025-10-17 23:30:00,2026-01-12 06:35:00
LAYER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LAYER_5m.csv,94524,5132,25107,100428,2025-02-12 00:45:00,2026-01-12 07:15:00
LDO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LDO_5m.csv,347778,18042,89582,358328,2022-09-22 21:00:00,2026-01-12 10:25:00
LEVER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LEVER_5m.csv,291621,12811,63949,255796,2023-03-30 21:15:00,2026-01-12 09:45:00
LIGHT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LIGHT_5m.csv,28903,1375,6680,26720,2025-09-27 20:30:00,2026-01-12 06:40:00
LINA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LINA_5m.csv,506833,19532,97303,389212,2021-03-19 16:00:00,2026-01-12 12:00:00
LINEA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LINEA_5m.csv,36426,1586,7908,31632,2025-09-01 17:30:00,2026-01-12 06:40:00
LINK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LINK_5m.csv,629837,32635,166285,665140,2020-01-17 17:00:00,2026-01-12 15:20:00
LISTA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LISTA_5m.csv,162550,8310,40088,160352,2024-06-20 21:30:00,2026-01-12 08:00:00
LIT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LIT_5m.csv,511086,20777,102708,410832,2021-02-18 16:00:00,2026-01-12 12:30:00
LOKA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LOKA_5m.csv,134907,4380,21732,86928,2024-09-24 20:30:00,2026-01-12 07:45:00
LOOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LOOM_5m.csv,235418,6823,34181,136724,2023-10-11 23:30:00,2026-01-12 09:05:00
LPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LPT_5m.csv,438607,24691,122232,488928,2021-11-11 12:30:00,2026-01-12 11:00:00
LQTY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LQTY_5m.csv,297388,15888,79288,317152,2023-03-10 21:00:00,2026-01-12 09:55:00
LRC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LRC_5m.csv,550331,31097,155937,623748,2020-10-19 16:05:00,2026-01-12 12:55:00
LSK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LSK_5m.csv,204876,11783,58076,232304,2024-01-25 23:15:00,2026-01-12 08:25:00
LTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LTC_5m.csv,632141,33675,170288,681152,2020-01-09 17:05:00,2026-01-12 15:25:00
LUMIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LUMIA_5m.csv,110419,5621,27472,109888,2024-12-18 20:30:00,2026-01-12 07:25:00
LUNA2,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LUNA2_5m.csv,351343,17082,87145,348580,2022-09-10 12:00:00,2026-01-12 10:30:00
LYN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\LYN_5m.csv,26358,1284,6567,26268,2025-10-06 16:30:00,2026-01-12 06:35:00
M,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\M_5m.csv,52544,2421,11837,47348,2025-07-07 18:30:00,2026-01-12 06:50:00
MAGIC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MAGIC_5m.csv,311884,15531,76660,306640,2023-01-25 12:00:00,2026-01-12 10:15:00
MANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MANA_5m.csv,507987,27845,141210,564840,2021-03-15 16:00:00,2026-01-12 12:10:00
MANTA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MANTA_5m.csv,206895,10863,54067,216268,2024-01-18 23:00:00,2026-01-12 08:25:00
MASK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MASK_5m.csv,460500,24366,121366,485464,2021-08-27 12:30:00,2026-01-12 11:25:00
MAV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MAV_5m.csv,265408,13815,68858,275432,2023-06-29 21:00:00,2026-01-12 09:25:00
MAVIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MAVIA_5m.csv,82122,4016,20288,81152,2025-03-27 02:00:00,2026-01-12 07:05:00
MBOX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MBOX_5m.csv,142711,6965,34901,139604,2024-08-28 18:30:00,2026-01-12 07:50:00
MDT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MDT_5m.csv,265120,5175,25781,103124,2023-06-30 21:00:00,2026-01-12 09:25:00
ME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ME_5m.csv,112657,5979,28990,115960,2024-12-11 02:00:00,2026-01-12 07:25:00
MELANIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MELANIA_5m.csv,100936,4618,23400,93600,2025-01-20 18:30:00,2026-01-12 07:15:00
MEME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MEME_5m.csv,228817,11077,54723,218892,2023-11-03 21:00:00,2026-01-12 08:45:00
MEMEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MEMEFI_5m.csv,73598,1493,7651,30604,2025-04-25 16:15:00,2026-01-12 07:00:00
MERL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MERL_5m.csv,63789,3064,15199,60796,2025-05-29 17:30:00,2026-01-12 06:55:00
MET,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MET_5m.csv,24857,1241,6048,24192,2025-10-11 21:30:00,2026-01-12 06:35:00
METIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\METIS_5m.csv,191404,10482,51332,205328,2024-03-12 17:30:00,2026-01-12 08:15:00
MEW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MEW_5m.csv,163396,8589,42181,168724,2024-06-17 23:00:00,2026-01-12 08:00:00
MILK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MILK_5m.csv,70352,3143,15543,62172,2025-05-06 22:45:00,2026-01-12 07:00:00
MINA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MINA_5m.csv,308043,16416,82044,328176,2023-02-07 20:00:00,2026-01-12 10:10:00
MIRA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MIRA_5m.csv,29184,1431,7071,28284,2025-09-26 21:00:00,2026-01-12 06:40:00
MITO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MITO_5m.csv,37483,1904,9512,38048,2025-08-29 01:30:00,2026-01-12 06:45:00
MKR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MKR_5m.csv,569639,28305,140279,561116,2020-08-13 16:00:00,2026-01-12 13:50:00
MLN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MLN_5m.csv,80782,3503,17506,70024,2025-03-31 17:45:00,2026-01-12 07:05:00
MMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MMT_5m.csv,15649,755,3837,15348,2025-11-18 22:35:00,2026-01-12 06:35:00
MOCA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MOCA_5m.csv,110996,6497,31774,127096,2024-12-16 20:30:00,2026-01-12 07:25:00
MON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MON_5m.csv,25208,1093,5431,21724,2025-10-10 16:15:00,2026-01-12 06:35:00
MOODENG,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MOODENG_5m.csv,125996,6220,30773,123092,2024-10-25 19:00:00,2026-01-12 07:40:00
MORPHO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\MORPHO_5m.csv,116433,6292,31238,124952,2024-11-27 23:30:00,2026-01-12 07:30:00
