batch_label,strategy_name,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,ruined,verdict
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V053_extreme_rare28_first,long,l09 v27 failed break pivot + extreme + rare28_first,5m,597,318,103,215,32.38993710691824,-0.35643770299536026,1.1391184253760178,1.6647445157276786,97.98475155838956,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V063_spring_rare28_first,long,l09 v51 microbase pop + spring + rare28_first,5m,597,318,92,226,28.930817610062892,-0.5099244012816917,0.9796797898034892,1.5302476995928904,97.9676310055457,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V049_prevhigh_microguard,long,l09 v28 refire block + prevhigh + microguard,5m,597,560,163,397,29.107142857142858,-0.08420147205789874,0.3664311855934521,2.118548128604225,97.79903424804841,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V041_prevhigh_base,long,l09 v28 refire block + prevhigh + base,5m,597,574,168,406,29.268292682926827,-0.12126140637580551,0.4511470928700634,2.1092807283227044,97.77201560877707,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V044_prevhigh_vol18,long,l09 v27 failed break pivot + prevhigh + vol18,5m,597,237,58,179,24.47257383966245,-0.7181019268297062,0.3147097264939225,1.564805418227122,97.72832955280259,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V087_hammer_outside_refire40,long,l09 v09 cluster pressure + hammer_outside + refire40,5m,597,353,115,238,32.577903682719544,-0.6274024568194148,1.0912904068195672,1.7161105857134151,97.66725387744368,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V010_core_shortgap,long,l09 v28 refire block + core + shortgap,5m,597,533,178,355,33.39587242026266,-0.333540623532369,1.7167139027026046,2.0404319806697435,97.63283306534898,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V042_prevhigh_rare22_c1,long,l09 v28 refire block + prevhigh + rare22_c1,5m,597,557,159,398,28.545780969479356,-0.23203930351518576,0.30973227472714804,2.221488756127199,97.551626667395,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V063_spring_rare28_first,long,l09 v09 cluster pressure + spring + rare28_first,5m,597,354,105,249,29.66101694915254,-0.6226313574156594,1.2020930813447794,1.8680746503432877,97.52092521079402,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V059_extreme_microguard,long,l09 v09 cluster pressure + extreme + microguard,5m,597,396,133,263,33.58585858585859,-0.6031990551687016,1.4083988166922135,1.9836600275063176,97.42510633586866,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V027_lowanchor_refire40,long,l09 v09 cluster pressure + lowanchor + refire40,5m,597,354,106,248,29.943502824858758,-0.8009612921196063,1.1899193400054742,1.983397080132543,97.23152787062874,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V023_lowanchor_rare28_first,long,l09 v51 microbase pop + lowanchor + rare28_first,5m,597,476,156,320,32.773109243697476,-0.600709668798638,1.6369358142513946,2.3167482310802456,97.09645903074694,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V069_spring_microguard,long,l09 v09 cluster pressure + spring + microguard,5m,597,426,131,295,30.751173708920188,-0.929434371600002,1.2179452008739045,2.154827129207715,96.9357662031797,121.53,False,baseline_fail
