strategy_name,axis,parent_alias,parent_strategy,family,group,side,description,total_trades,total_wins,total_losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,mdd_under_5,beats_axis_reference,reference_alias,reference_strategy,reference_cd_value,reference_max_return_pct,reference_max_drawdown_pct
long_max_v1_060_lx13_second_leg_soft_09,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_09,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,12603,2216,10387,17.583115,-33.729474,0.157573,34.825154,65.277543,0.004525,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_071_lx13_second_leg_soft_20,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_20,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,15674,1798,13876,11.471226,-34.327757,0.0,34.726952,65.273048,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_069_lx13_second_leg_soft_18,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_18,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,13090,1944,11146,14.851031,-33.952305,0.0,34.776546,65.223454,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_068_lx13_second_leg_soft_17,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_17,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,14328,1928,12400,13.45617,-34.050299,0.116774,34.95926,65.11669,0.00334,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_064_lx13_second_leg_soft_13,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_13,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,13412,2095,11317,15.62034,-34.118364,0.041932,34.924396,65.102892,0.001201,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_063_lx13_second_leg_soft_12,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_12,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,14729,2090,12639,14.189694,-34.512938,0.168106,35.41116,64.697418,0.004747,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_055_lx13_second_leg_soft_04,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_04,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,12810,2372,10438,18.516784,-34.461087,0.181882,35.511755,64.605537,0.005122,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_082_lx13_asym_runner_guard_06,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_06,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,13980,1566,12414,11.201717,-35.378083,0.0,35.639717,64.360283,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_059_lx13_second_leg_soft_08,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_08,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,13788,2266,11522,16.434581,-34.729644,0.147526,35.767151,64.327609,0.004125,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_062_lx13_second_leg_soft_11,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_11,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,15871,2201,13670,13.868061,-35.119704,0.109153,35.925171,64.144768,0.003038,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
