symbol,file,bars,first_ts,last_ts,raw_profile_events,eligible_scenario_events
BEAMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAMX_5m.csv,224764,2023-11-17 22:30:00,2026-01-12 08:40:00,857,153927
BEAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEAT_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,71,12096
BEL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BEL_5m.csv,541691,2020-11-18 16:00:00,2026-01-12 12:50:00,2462,443718
BERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BERA_5m.csv,95974,2025-02-07 00:00:00,2026-01-12 07:15:00,322,57537
BICO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BICO_5m.csv,239186,2023-09-28 21:30:00,2026-01-12 09:05:00,885,154440
BID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BID_5m.csv,83942,2025-03-20 18:30:00,2026-01-12 07:10:00,403,74520
BIGTIME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIGTIME_5m.csv,235129,2023-10-12 23:30:00,2026-01-12 09:00:00,1001,179388
BIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BIO_5m.csv,105800,2025-01-03 21:15:00,2026-01-12 07:20:00,331,59805
BLESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLESS_5m.csv,30078,2025-09-23 18:30:00,2026-01-12 06:40:00,149,24840
BLUAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUAI_5m.csv,21989,2025-10-21 20:30:00,2026-01-12 06:35:00,107,18468
BLUR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLUR_5m.csv,283270,2023-04-28 21:00:00,2026-01-12 09:40:00,1049,189729
BLZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BLZ_5m.csv,559553,2020-09-17 16:00:00,2026-01-12 13:20:00,2547,459027
BMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BMT_5m.csv,84758,2025-03-17 22:30:00,2026-01-12 07:10:00,364,61533
BNB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNB_5m.csv,622920,2020-02-10 17:00:00,2026-01-12 14:55:00,3295,442584
BNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNT_5m.csv,253307,2023-08-10 21:00:00,2026-01-12 09:15:00,1003,162405
BNX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BNX_5m.csv,303676,2023-02-22 23:45:00,2026-01-12 10:00:00,994,164133
BOB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOB_5m.csv,14819,2025-11-21 19:45:00,2026-01-12 06:35:00,52,10260
BOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOME_5m.csv,190203,2024-03-16 21:30:00,2026-01-12 08:10:00,512,98766
BOND,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BOND_5m.csv,234264,2023-10-15 23:30:00,2026-01-12 09:00:00,576,99306
BR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BR_5m.csv,83615,2025-03-21 21:45:00,2026-01-12 07:10:00,421,61587
BRETT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BRETT_5m.csv,145003,2024-08-20 19:35:00,2026-01-12 07:55:00,530,100872
BROCCOLI714,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLI714_5m.csv,83660,2025-03-21 18:00:00,2026-01-12 07:10:00,305,53028
BROCCOLIF3B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLIF3B_5m.csv,83657,2025-03-21 18:15:00,2026-01-12 07:10:00,395,73494
BSV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSV_5m.csv,232846,2023-10-20 21:30:00,2026-01-12 08:55:00,1267,201447
BSW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSW_5m.csv,140448,2024-09-05 15:00:00,2026-01-12 07:50:00,467,84429
BTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTC_5m.csv,667450,2019-09-09 02:55:00,2026-01-12 15:40:00,3575,393138
BTCDOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTCDOM_5m.csv,479797,2021-06-21 12:30:00,2026-01-12 11:30:00,2268,123057
BTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTR_5m.csv,37843,2025-08-27 19:30:00,2026-01-12 06:45:00,216,39231
BULLA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BULLA_5m.csv,53414,2025-07-04 18:00:00,2026-01-12 06:50:00,321,52245
C98,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C98_5m.csv,461364,2021-08-24 12:30:00,2026-01-12 11:25:00,1733,320787
C,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C_5m.csv,50246,2025-07-15 18:00:00,2026-01-12 06:50:00,218,37773
CAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CAKE_5m.csv,229097,2023-11-02 21:45:00,2026-01-12 08:50:00,824,136836
CARV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CARV_5m.csv,43528,2025-08-08 01:45:00,2026-01-12 06:45:00,234,38772
CATI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CATI_5m.csv,136060,2024-09-20 20:30:00,2026-01-12 07:45:00,473,81630
CC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CC_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,64,10854
CELO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELO_5m.csv,451569,2021-09-27 12:30:00,2026-01-12 11:10:00,1294,245754
CELR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELR_5m.csv,503952,2021-03-29 16:00:00,2026-01-12 11:55:00,2080,386802
CETUS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CETUS_5m.csv,122490,2024-11-06 23:00:00,2026-01-12 07:35:00,390,71388
CFX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CFX_5m.csv,304256,2023-02-20 23:30:00,2026-01-12 10:05:00,1035,184032
CGPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CGPT_5m.csv,109749,2024-12-21 04:15:00,2026-01-12 07:20:00,391,70686
CHESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHESS_5m.csv,142446,2024-08-29 16:30:00,2026-01-12 07:50:00,595,106920
CHILLGUY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHILLGUY_5m.csv,116430,2024-11-27 23:45:00,2026-01-12 07:30:00,373,69957
CHR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHR_5m.csv,508852,2021-03-12 16:00:00,2026-01-12 12:15:00,2201,412911
CHZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHZ_5m.csv,523256,2021-01-21 16:00:00,2026-01-12 12:35:00,2376,414882
CKB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CKB_5m.csv,301981,2023-02-28 21:00:00,2026-01-12 10:00:00,1412,242406
CLANKER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLANKER_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,88,16308
CLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLO_5m.csv,24005,2025-10-14 20:30:00,2026-01-12 06:35:00,104,18576
COAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COAI_5m.csv,29526,2025-09-25 16:30:00,2026-01-12 06:40:00,108,18360
COMBO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMBO_5m.csv,273184,2023-06-02 21:00:00,2026-01-12 09:25:00,875,155277
COMMON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMMON_5m.csv,15649,2025-11-18 22:35:00,2026-01-12 06:35:00,69,12744
COMP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMP_5m.csv,582292,2020-06-30 18:00:00,2026-01-12 14:15:00,2959,530595
COOKIE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COOKIE_5m.csv,104657,2025-01-07 20:30:00,2026-01-12 07:20:00,320,58401
COS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COS_5m.csv,133160,2024-09-30 22:00:00,2026-01-12 07:40:00,671,112158
COTI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COTI_5m.csv,509428,2021-03-10 16:00:00,2026-01-12 12:15:00,2167,394497
COW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COW_5m.csv,122497,2024-11-06 22:30:00,2026-01-12 07:35:00,506,85482
CROSS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CROSS_5m.csv,51668,2025-07-10 19:30:00,2026-01-12 06:50:00,333,60912
CRV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CRV_5m.csv,564165,2020-09-01 16:00:00,2026-01-12 13:40:00,1515,295461
CTK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTK_5m.csv,72122,2025-04-30 19:15:00,2026-01-12 07:00:00,330,55566
CTSI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTSI_5m.csv,443216,2021-10-26 12:30:00,2026-01-12 11:05:00,1949,352143
CUDIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CUDIS_5m.csv,39850,2025-08-20 20:15:00,2026-01-12 06:45:00,211,37854
CVC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVC_5m.csv,67533,2025-05-16 17:30:00,2026-01-12 06:55:00,367,55431
CVX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVX_5m.csv,47912,2025-07-23 20:30:00,2026-01-12 06:50:00,172,31050
CYBER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CYBER_5m.csv,250137,2023-08-21 21:00:00,2026-01-12 09:10:00,929,169425
D,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\D_5m.csv,104099,2025-01-09 19:00:00,2026-01-12 07:20:00,387,69147
DAM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAM_5m.csv,40411,2025-08-18 21:30:00,2026-01-12 06:45:00,140,24840
DAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAR_5m.csv,389930,2022-04-29 12:30:00,2026-01-12 10:35:00,1283,225747
DASH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DASH_5m.csv,624649,2020-02-04 17:05:00,2026-01-12 15:05:00,3088,509085
DEEP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEEP_5m.csv,74447,2025-04-22 17:30:00,2026-01-12 07:00:00,360,64800
DEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEFI_5m.csv,565318,2020-08-28 16:00:00,2026-01-12 13:45:00,2971,489861
DEGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGEN_5m.csv,119927,2024-11-15 20:30:00,2026-01-12 07:30:00,500,90990
DEGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGO_5m.csv,111839,2024-12-13 22:15:00,2026-01-12 07:25:00,510,83457
DENT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DENT_5m.csv,505428,2021-03-24 13:00:00,2026-01-12 11:55:00,1842,345168
DEXE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEXE_5m.csv,108690,2024-12-24 20:30:00,2026-01-12 07:20:00,559,87534
DF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DF_5m.csv,106959,2024-12-30 20:45:00,2026-01-12 07:20:00,477,84159
DGB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DGB_5m.csv,497367,2021-04-21 12:30:00,2026-01-12 11:40:00,1654,302886
