period,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,72,26746,26746,100.0,6737,20009,0,25.188813280490542,0.0017218430003672818,0.0817545448182945,1.9498573360356566,1.0048704482612347,25.162641142600762,74.81118671950946,0.026172137889777913,2.6366185597846408,0.013592196352235329,1.5532246727973646,0.3883061681993408,-33.28372547820872,104.45401956642218,1.721843000367282e-05
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp2atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,2.0,4.0,72,3811,3811,100.0,752,3059,0,19.732353712936238,-0.10176051592784129,-0.021769223617288235,0.889887330364084,0.6385058473885911,19.65363421674101,80.26764628706377,0.07871949619522435,2.7987404880608766,0.013724764045029644,1.0711122176840604,0.2677780544210153,-24.298403123421686,28.886047278824524,-0.001017605159278413
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,12,255414,255414,100.0,50009,205405,0,19.579584517685014,-0.02845302829955723,0.051567598739938734,1.2072250071456825,0.9043215148095107,12.452723813103432,79.83861495454438,7.70866123235218,3.181767639988411,0.007672610943146077,1.7645097050132044,0.2940849508355341,-33.28372547820872,156.7210293496333,-0.0002845302829955723
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,12,228344,228344,100.0,44091,184253,0,19.309024979854954,-0.036287304344649614,0.043730187730442585,0.8957170196684443,0.874854733531481,12.195196720737133,80.10633079914516,7.698472480117717,3.1628332691027574,0.006985844307295896,1.7002450591003824,0.2833741765167306,-24.298403123421686,43.36907091823678,-0.0003628730434464961
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,12,224461,224461,100.0,43369,181092,0,19.321396590053507,-0.03543453506872977,0.04458329825057047,0.8926051679451129,0.8778740283854656,12.233751074796958,80.0918645109841,7.6743844142189515,3.1610480217053296,0.006872165767358455,1.7022564376625446,0.28370940627709096,-11.693657892199072,29.91643547242213,-0.00035434535068729767
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,12,27070,27070,100.0,5918,21152,0,21.861839674916883,0.037631564579666,0.1176786360340795,2.641655038668828,1.1045398098423043,14.62504617657924,77.58034724787588,7.794606575544884,3.3414850387883264,0.01346570443027478,2.306602291135012,0.3844337151891688,-33.28372547820872,156.7210293496333,0.00037631564579666
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h12,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,12,3883,3883,100.0,722,3161,0,18.593870718516612,-0.0855825514325308,-0.005584785346669358,1.0590218914019816,0.6934855887201015,9.966520731393253,80.94257017769766,9.090909090909092,3.266031419005923,0.013557154828258507,1.583975153501231,0.2639958589168722,-24.298403123421686,43.36907091823678,-0.000855825514325308
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,36,255414,255414,100.0,43070,212344,0,16.862818796150563,-0.030418154888963198,0.049601685785350944,1.2418247601987258,0.9016369315462412,15.856609269656321,83.06827346973932,1.075117260604352,3.961247229987393,0.007672610943146077,1.7645097050132044,0.2940849508355341,-33.28372547820872,156.7210293496333,-0.000304181548889632
EX_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,36,228344,228344,100.0,37959,190385,0,16.623602984970045,-0.037239074863822594,0.042778036350717696,0.9396423171914158,0.8764325473015991,15.616350769015169,83.30413761692884,1.0795116140559857,3.9445967487650213,0.006985844307295896,1.7002450591003824,0.2833741765167306,-24.298403123421686,43.36907091823678,-0.00037239074863822596
PRE_2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,36,224461,224461,100.0,37321,187140,0,16.626941874089486,-0.03658100576585756,0.043436368781655105,0.9369680072181544,0.8787019228589235,15.618303402372796,83.3008852317329,1.080811365894298,3.9413751163899295,0.006872165767358455,1.7022564376625446,0.28370940627709096,-11.693657892199072,29.91643547242213,-0.0003658100576585756
2025Q4,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,36,27070,27070,100.0,5111,21959,0,18.880679719246398,0.02711845947155735,0.1071613240011578,2.664393906874377,1.072182875871204,17.883265607683782,81.07868489102327,1.0380495012929443,4.101699298115996,0.01346570443027478,2.306602291135012,0.3844337151891688,-33.28372547820872,156.7210293496333,0.0002711845947155735
2026,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h36,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,36,3883,3883,100.0,638,3245,0,16.43059490084986,-0.07527946832205819,0.004722420646200326,1.0823877960789732,0.7395623946083517,15.503476693278392,83.4921452485192,1.0043780582024209,4.130826680401751,0.013557154828258507,1.583975153501231,0.2639958589168722,-24.298403123421686,43.36907091823678,-0.0007527946832205819
ALL,bear_body20_range22_vol20_cp20__all__slip0bps__sl0.5atr__tp3atr__h72,bear_body20_range22_vol20_cp20,all,0.0,0.5,3.0,6.0,72,255414,255414,100.0,42044,213370,0,16.461118027985936,-0.031169935499914054,0.04884960434182268,1.2490339100377648,0.8998594404592365,16.28219283202957,83.52517872943534,0.1926284385350842,4.133966814661687,0.007672610943146077,1.7645097050132044,0.2940849508355341,-33.28372547820872,156.7210293496333,-0.00031169935499914057
