rank,candidate_id,profile,trend_state,slippage_bps,stop_atr,target_atr,rr,max_hold_bars,eligible_events,trades,acceptance_rate_pct,wins,losses,flats,win_rate_pct,avg_net_return_pct,avg_gross_return_pct,std_net_return_pct,profit_factor,tp_exit_rate_pct,stop_exit_rate_pct,time_exit_rate_pct,avg_hold_bars,avg_gap_pct,avg_tp_distance_pct,avg_stop_distance_pct,min_net_return_pct,max_net_return_pct,mean_account_contribution_pct,eligible_symbols,positive_symbols,positive_symbol_pct,eligible_quarters,positive_quarter_pct,ex_q4_trades,ex_q4_avg_net_return_pct,ex_q4_profit_factor,ex_q4_win_rate_pct,q4_2025_trades,q4_2025_avg_net_return_pct,q4_2025_profit_factor,q4_2025_win_rate_pct,y2026_trades,y2026_avg_net_return_pct,y2026_profit_factor,y2026_win_rate_pct,robust_pass
77,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl1atr__tp2atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,1.0,2.0,2.0,12,192255,192255,100.0,66807,125448,0,34.74916127018803,-0.07532809170657749,0.00467377780454431,1.2774971511320368,0.8216643119608266,30.743023588463238,63.68364931991366,5.573327091623105,3.3373748407063535,0.007150875909092913,1.1447932921402004,0.5723966460701003,-31.811559701375636,137.81894697322699,-0.0007532809170657749,595,104,17.478991596638654,26,7.6923076923076925,171186.0,-0.08076662787389448,0.8043616563595231,34.42746486278083,21069.0,-0.031139888548462457,0.9377274822601923,37.36295030613698,2568.0,-0.10358583399980825,0.7040002501025822,34.30685358255452,False
78,bear_range25_body08_vol15_cp20__all__slip1bps__sl1atr__tp3atr__h36,bear_range25_body08_vol15_cp20,all,1.0,1.0,3.0,3.0,36,270420,270420,100.0,70974,199446,0,26.245839804748172,-0.07397719794437468,0.006025212140481467,1.6222683568733647,0.8502906406474858,23.884328082242437,73.24495229642778,2.870719621329783,6.444726721396346,0.0066278250433498215,1.767939531088854,0.5893131770296174,-49.51061283787883,206.76842045984057,-0.0007397719794437469,596,115,19.29530201342282,26,15.384615384615385,240974.0,-0.08121719831237462,0.8308006378599934,26.062977748636783,29446.0,-0.01472800115437258,0.9758467024261924,27.742307953542078,4073.0,-0.09545893388984539,0.7835321295595628,27.154431622882395,False
79,bear_range25_body08_vol15_cp20__all__slip1bps__sl0.75atr__tp2atr__h12,bear_range25_body08_vol15_cp20,all,1.0,0.75,2.0,2.6666666666666665,12,265761,265761,100.0,76783,188978,0,28.89174860118678,-0.077682603136072,0.0023183241936054924,1.1134342013376233,0.7942904357971249,25.79987281805833,70.13594921753004,4.064177964411633,2.9234424915619672,0.006675008911002394,1.1947568536313906,0.4480338201117722,-49.885624095681784,137.81894697322699,-0.00077682603136072,596,91,15.268456375838927,26,3.8461538461538463,236686.0,-0.08132865456145341,0.7783412412138133,28.64765976863862,29075.0,-0.0480018008087173,0.8967535902679019,30.87876182287188,3989.0,-0.13209420668724395,0.6237988291127089,26.34745550263224,False
80,bear_range25_body08_vol15_cp20__all__slip1bps__sl0.75atr__tp2atr__h72,bear_range25_body08_vol15_cp20,all,1.0,0.75,2.0,2.6666666666666665,72,265761,265761,100.0,74031,191730,0,27.856231727002832,-0.07822313067325506,0.0017775803588885157,1.1394432438779378,0.7983010318957632,27.81634626600592,72.13285621291311,0.05079752108097125,3.293794048035641,0.006675008911002394,1.1947568536313906,0.4480338201117722,-49.885624095681784,137.81894697322699,-0.0007822313067325507,596,95,15.939597315436242,26,3.8461538461538463,236686.0,-0.08205482916932556,0.7821887632786959,27.61591306625656,29075.0,-0.047031062221287744,0.9016403500793311,29.81255374032674,3989.0,-0.131448216483689,0.6407993021636671,25.394835798445726,False
81,bear_range25_body08_vol15_cp20__all__slip1bps__sl0.75atr__tp2atr__h36,bear_range25_body08_vol15_cp20,all,1.0,0.75,2.0,2.6666666666666665,36,265761,265761,100.0,74229,191532,0,27.930734757921595,-0.07826480713521164,0.0017358872196762975,1.135613646438318,0.7977219378923903,27.689540602270462,72.00454543744192,0.30591396028762685,3.24738392766433,0.006675008911002394,1.1947568536313906,0.4480338201117722,-49.885624095681784,137.81894697322699,-0.0007826480713521164,596,93,15.604026845637584,26,3.8461538461538463,236686.0,-0.08207397342072756,0.7816448515554932,27.68562568128237,29075.0,-0.04725616288917093,0.9008918578902488,29.92605331040413,3989.0,-0.1282078965284029,0.6461841648146434,25.545249435948858,False
82,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl1atr__tp2atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,1.0,2.0,2.0,36,192255,192255,100.0,64912,127343,0,33.763491196587864,-0.07635003794073425,0.003651422628317021,1.2999185327029925,0.824779191935782,33.429559699357625,66.09138904059712,0.4790512600452524,3.803823047515019,0.007150875909092913,1.1447932921402004,0.5723966460701003,-31.811559701375636,137.81894697322699,-0.0007635003794073425,595,106,17.81512605042017,26,7.6923076923076925,171186.0,-0.08239859484351499,0.806622825283826,33.40576916336616,21069.0,-0.02720540544942403,0.9470717638591936,36.669989083487586,2568.0,-0.09892439762784752,0.7268406451809959,33.48909657320872,False
83,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl1atr__tp2atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,1.0,2.0,2.0,72,192255,192255,100.0,64750,127505,0,33.67922810850173,-0.0764154210278167,0.0035860133775343535,1.3030209859461008,0.8252118636037099,33.62357285896336,66.29736547814102,0.0790616628956334,3.8764661517255727,0.007150875909092913,1.1447932921402004,0.5723966460701003,-31.811559701375636,137.81894697322699,-0.000764154210278167,595,107,17.983193277310924,26,7.6923076923076925,171186.0,-0.08244612996462249,0.8071231377971912,33.32223429486056,21069.0,-0.027415803577721887,0.9468972539116235,36.579809198348286,2568.0,-0.09919698974729252,0.7273585234305624,33.33333333333333,False
84,bear_range25_body08_vol15_cp20__all__slip1bps__sl1atr__tp3atr__h72,bear_range25_body08_vol15_cp20,all,1.0,1.0,3.0,3.0,72,270420,270420,100.0,68815,201605,0,25.44745211153021,-0.07532151991368127,0.004680352227209588,1.6398810233537149,0.8501664255604969,24.97596331632276,74.44197914355448,0.582057540122772,6.94156127505362,0.0066278250433498215,1.767939531088854,0.5893131770296174,-51.63362230546446,206.76842045984057,-0.0007532151991368127,596,110,18.456375838926174,26,15.384615384615385,240974.0,-0.08256424321200868,0.8308704627600245,25.27036111779694,29446.0,-0.01605003977746083,0.9741796937102924,26.896692250220745,4073.0,-0.09642734368452298,0.7853561990944974,26.319666093788364,False
85,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.75atr__tp1.5atr__h12,bear_body20_range22_vol20_cp20,all,1.0,0.75,1.5,2.0,12,241589,241589,100.0,81952,159637,0,33.92207426662638,-0.08127021035611703,-0.001270718643574484,0.9571664401746333,0.7741556479974563,32.926995848320914,65.54892813828445,1.5240760133946496,2.2829350674078706,0.007799109186503088,0.9186298418675196,0.45931492093375986,-49.885624095681784,78.3126754072759,-0.0008127021035611704,595,73,12.26890756302521,26,7.6923076923076925,215709.0,-0.08356039415489447,0.7613375908852562,33.56883579266512,25880.0,-0.062181599187242635,0.8589849915461663,36.86630602782071,3618.0,-0.15407596970845677,0.5616519488755252,29.74018794914317,False
86,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.75atr__tp1.5atr__h36,bear_body20_range22_vol20_cp20,all,1.0,0.75,1.5,2.0,36,241589,241589,100.0,81422,160167,0,33.70269341733274,-0.08143078495740012,-0.0014313575004003425,0.9663950714000307,0.7760363938262892,33.65136657712065,66.27495457160715,0.07367885127220196,2.3847608955705764,0.007799109186503088,0.9186298418675196,0.45931492093375986,-49.885624095681784,78.3126754072759,-0.0008143078495740012,595,79,13.277310924369749,26,7.6923076923076925,215709.0,-0.08382052792033505,0.7629989710393982,33.35141324654975,25880.0,-0.061512351232835945,0.8621583686332199,36.6306027820711,3618.0,-0.1551045686777894,0.5673099788231631,29.463792150359314,False
87,bear_body20_range22_vol20_cp20__all__slip1bps__sl0.75atr__tp1.5atr__h72,bear_body20_range22_vol20_cp20,all,1.0,0.75,1.5,2.0,72,241589,241589,100.0,81391,160198,0,33.68986170727972,-0.08152944705393446,-0.0015300590775655354,0.9685647931949486,0.775972580757312,33.67951355401115,66.30682688367435,0.013659562314509354,2.3967771711460375,0.007799109186503088,0.9186298418675196,0.45931492093375986,-49.885624095681784,78.3126754072759,-0.0008152944705393446,595,79,13.277310924369749,26,7.6923076923076925,215709.0,-0.08386666275166885,0.7630727349922316,33.342605083700725,25880.0,-0.06204882646109919,0.8611440031852965,36.584234930448225,3618.0,-0.1569684727599352,0.5654404330475569,29.4914317302377,False
88,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1atr__h72,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,1.0,2.0,72,153981,153981,100.0,51960,102021,0,33.744423013228904,-0.08234227454612235,-0.0023432118308547053,0.7058494409638879,0.7022159805351431,33.744423013228904,66.25557698677109,0.0,1.311466999175223,0.007717526595883657,0.6552543128882236,0.32762715644411183,-18.034790218598953,68.86947348661351,-0.0008234227454612235,594,55,9.25925925925926,25,0.0,137152.0,-0.08456604785896236,0.6868744534379227,33.21716052263182,16829.0,-0.06421909685269847,0.8048349753996494,38.04147602353081,1778.0,-0.10445983410875519,0.5850377955839599,29.07761529808774,False
89,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1atr__h12,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,1.0,2.0,12,153981,153981,100.0,51969,102012,0,33.750267890194245,-0.08235963577311375,-0.0023605800051157482,0.7051865133898012,0.7020029942934711,33.71389976685435,66.22375487884868,0.06234535429695872,1.3078301868412336,0.007717526595883657,0.6552543128882236,0.32762715644411183,-18.034790218598953,68.86947348661351,-0.0008235963577311376,594,55,9.25925925925926,25,0.0,137152.0,-0.08458694202753088,0.6866260086591848,33.22299346710219,16829.0,-0.06420766551903914,0.8048260320620902,38.04741814724583,1778.0,-0.10445983410875519,0.5850377955839599,29.07761529808774,False
90,bear_range25_body08_vol15_cp20__long_counter_trend__slip1bps__sl0.5atr__tp1atr__h36,bear_range25_body08_vol15_cp20,long_counter_trend,1.0,0.5,1.0,2.0,36,153981,153981,100.0,51959,102022,0,33.74377358245498,-0.08236801514011985,-0.002368962725209944,0.7057958927384548,0.7021257626691448,33.742474720907126,66.25557698677109,0.00194829232177996,1.3113046414817413,0.007717526595883657,0.6552543128882236,0.32762715644411183,-18.034790218598953,68.86947348661351,-0.0008236801514011985,594,55,9.25925925925926,25,0.0,137152.0,-0.08459494690822399,0.6867709181235475,33.21643140457303,16829.0,-0.06421909685269847,0.8048349753996494,38.04147602353081,1778.0,-0.10445983410875519,0.5850377955839599,29.07761529808774,False
