symbol,file,accepted_nonoverlap_trades
CC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CC_5m.csv,860
CELO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELO_5m.csv,19906
CELR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELR_5m.csv,32141
CETUS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CETUS_5m.csv,5856
CFX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CFX_5m.csv,15177
CGPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CGPT_5m.csv,5760
CHESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHESS_5m.csv,8586
CHILLGUY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHILLGUY_5m.csv,5607
CHR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHR_5m.csv,33993
CHZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHZ_5m.csv,35463
CKB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CKB_5m.csv,20334
CLANKER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLANKER_5m.csv,1284
CLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLO_5m.csv,1440
COAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COAI_5m.csv,1392
COMBO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMBO_5m.csv,13021
COMMON,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMMON_5m.csv,1002
COMP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COMP_5m.csv,44524
COOKIE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COOKIE_5m.csv,4704
COS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COS_5m.csv,9417
COTI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COTI_5m.csv,32796
COW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COW_5m.csv,6966
CROSS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CROSS_5m.csv,5052
CRV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CRV_5m.csv,23995
CTK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTK_5m.csv,4614
CTSI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CTSI_5m.csv,29215
CUDIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CUDIS_5m.csv,3018
CVC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVC_5m.csv,5049
CVX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CVX_5m.csv,2637
CYBER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CYBER_5m.csv,13818
D,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\D_5m.csv,5512
DAM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAM_5m.csv,1932
DAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DAR_5m.csv,19116
DASH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DASH_5m.csv,43938
DEEP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEEP_5m.csv,5358
DEFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEFI_5m.csv,42456
DEGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGEN_5m.csv,7353
DEGO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEGO_5m.csv,7134
DENT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DENT_5m.csv,28191
DEXE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DEXE_5m.csv,7690
DF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DF_5m.csv,7023
DGB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DGB_5m.csv,24800
DIA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DIA_5m.csv,8692
DMC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DMC_5m.csv,4146
DODOX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DODOX_5m.csv,13176
DOGE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOGE_5m.csv,37620
DOGS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOGS_5m.csv,6588
DOLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOLO_5m.csv,4308
DOOD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOOD_5m.csv,4851
DOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DOT_5m.csv,36458
DRIFT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DRIFT_5m.csv,9396
DUSK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DUSK_5m.csv,31039
DYDX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DYDX_5m.csv,21646
DYM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\DYM_5m.csv,10362
EDEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EDEN_5m.csv,1332
EDU,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EDU_5m.csv,17508
EGLD,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EGLD_5m.csv,38697
EIGEN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EIGEN_5m.csv,5748
ENA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENA_5m.csv,7590
ENJ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENJ_5m.csv,40657
ENS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENS_5m.csv,27780
ENSO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ENSO_5m.csv,1668
EPIC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EPIC_5m.csv,5157
EPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EPT_5m.csv,5603
ERA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ERA_5m.csv,3399
ESPORTS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ESPORTS_5m.csv,3132
ETC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETC_5m.csv,42623
ETH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETH_5m.csv,42258
ETHFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETHFI_5m.csv,7200
ETHW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ETHW_5m.csv,14889
EUL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EUL_5m.csv,1878
EVAA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\EVAA_5m.csv,2016
F,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\F_5m.csv,4176
FARTCOIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FARTCOIN_5m.csv,4320
FET,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FET_5m.csv,13990
FF,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FF_5m.csv,1668
FHE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FHE_5m.csv,5178
FIDA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIDA_5m.csv,6324
FIL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIL_5m.csv,35472
FIO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIO_5m.csv,8106
FIS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FIS_5m.csv,4014
FLM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLM_5m.csv,33598
FLOCK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLOCK_5m.csv,2496
FLOW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLOW_5m.csv,19398
