symbol,timeout,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,avg_mae_pct,p95_mae_pct,max_mae_pct,avg_mfe_pct,p95_mfe_pct
HOT_5m,288,1,100.0,6.77959271168275,6.77959271168275,0.4012036108324901,0.4012036108324901,0.4012036108324901,11.086350974930381,11.086350974930381
EVAA_5m,288,2,100.0,6.583055437431231,6.583055437431231,3.5476071114658447,6.076519085555585,6.3575093048988895,20.4709810209894,20.823997798147584
FTM_5m,288,2,100.0,6.404319073525469,6.404319073525469,2.65231372858018,2.7359529444484907,2.745246190656081,7.482753592225288,9.052118642804611
GMT_5m,288,1,100.0,6.258397066526969,6.258397066526969,0.5714285714285783,0.5714285714285783,0.5714285714285783,8.847184986595158,8.847184986595158
CRV_5m,288,3,66.66666666666666,6.228325724448061,9.60342644320297,6.358390521422848,12.260826597065595,13.283582089552226,11.640408859731957,22.43949107897222
DUSK_5m,288,1,100.0,6.09650677587751,6.09650677587751,1.7829059546079273,1.7829059546079273,1.7829059546079273,8.400028711911855,8.400028711911855
BAN_5m,288,1,100.0,6.0419656601539495,6.0419656601539495,1.0600312430260939,1.0600312430260939,1.0600312430260939,11.246276067527305,11.246276067527305
ICP_5m,288,1,100.0,6.0075512995896,6.0075512995896,4.126370083816888,4.126370083816888,4.126370083816888,6.8304442658707165,6.8304442658707165
ALCH_5m,288,2,50.0,5.9040146354314675,5.9040146354314675,8.759712791423146,15.001248829685732,15.69475283393713,22.479476361411365,41.60370590295984
FLUX_5m,288,2,100.0,5.8944724250136336,5.8944724250136336,18.22152630706231,18.799574335003403,18.863801893663524,8.699998945992016,9.000400523035971
UNFI_5m,288,4,75.0,5.883070228153745,4.802198162113937,2.2408356485347114,4.647034731701654,5.153606411398037,10.485901887602965,21.308194557401585
1000CHEEMS_5m,288,1,100.0,5.755073068893548,5.755073068893548,4.349541374889032,4.349541374889032,4.349541374889032,16.379706152433428,16.379706152433428
AIA_5m,288,1,100.0,5.707781350482302,5.707781350482302,2.4004364429896397,2.4004364429896397,2.4004364429896397,16.592457973648322,16.592457973648322
CATI_5m,288,1,100.0,5.6534056791463305,5.6534056791463305,3.2842969551830192,3.2842969551830192,3.2842969551830192,10.51039697542533,10.51039697542533
JOE_5m,288,2,100.0,5.389239162826668,5.389239162826668,5.757688697218422,9.168893428233726,9.547916176124316,6.628204444553831,7.476007257642192
LTC_5m,288,1,100.0,5.347718250483049,5.347718250483049,0.4498500499833247,0.4498500499833247,0.4498500499833247,6.949394155381339,6.949394155381339
SPELL_5m,288,3,100.0,5.346700131385258,5.2873664122137365,2.4078021421281828,3.574002986317484,3.656552120225909,6.737479647474427,9.036180095447524
TROY_5m,288,2,100.0,5.345759196240488,5.345759196240488,1.1357076675426625,1.1679077557871753,1.171485543369899,7.2697697966406345,8.527627033835234
DASH_5m,288,1,100.0,5.322010050251249,5.322010050251249,1.515409501106757,1.515409501106757,1.515409501106757,9.922459893048142,9.922459893048142
VANA_5m,288,1,100.0,5.264570087475997,5.264570087475997,2.450632911392403,2.450632911392403,2.450632911392403,7.011270047680984,7.011270047680984
GIGGLE_5m,288,3,66.66666666666666,5.209098270899862,7.4162039478941875,6.077308466895944,7.670310617156142,7.891470118815391,10.036444630399219,13.064744604616271
RIF_5m,288,1,100.0,5.189949066213941,5.189949066213941,3.0256112508870503,3.0256112508870503,3.0256112508870503,13.013998250218716,13.013998250218716
TST_5m,288,3,100.0,5.185639866508631,6.599910603426854,2.6764483648885764,4.809224280463311,5.159165751920969,14.687977417517535,22.027685751170427
STRAX_5m,288,1,100.0,5.148200018977125,5.148200018977125,0.4688908926961277,0.4688908926961277,0.4688908926961277,16.847539774523224,16.847539774523224
COAI_5m,288,1,100.0,5.1431718898385625,5.1431718898385625,2.6173285198555885,2.6173285198555885,2.6173285198555885,17.001055966209087,17.001055966209087
HIFI_5m,288,3,100.0,5.079120602890647,2.296058538189607,4.070759108548624,7.5686732170495326,8.070831108738208,14.468154361269987,26.455759753634553
BNX_5m,288,1,100.0,5.030410094637241,5.030410094637241,10.044017607042832,10.044017607042832,10.044017607042832,7.000642260757872,7.000642260757872
KLAY_5m,288,1,100.0,4.941409108602559,4.941409108602559,7.7464788732394485,7.7464788732394485,7.7464788732394485,6.178669815033455,6.178669815033455
SUPER_5m,288,1,100.0,4.885541615126345,4.885541615126345,9.158249158249166,9.158249158249166,9.158249158249166,5.693950177935925,5.693950177935925
SOON_5m,288,1,100.0,4.789797006356347,4.789797006356347,11.79978492521263,11.79978492521263,11.79978492521263,6.39692115664654,6.39692115664654
CELR_5m,288,1,100.0,4.710799407323787,4.710799407323787,0.8079719903043125,0.8079719903043125,0.8079719903043125,7.623188405797099,7.623188405797099
APE_5m,288,2,100.0,4.663228936201859,4.663228936201859,1.5383951602196078,2.0567045382373683,2.1142944691282306,7.0951913168646685,7.278646207142653
OL_5m,288,1,100.0,4.592897196261672,4.592897196261672,5.319940476190466,5.319940476190466,5.319940476190466,9.848794442174103,9.848794442174103
