factor,residual_mode,profile,side,horizon,quarter,reversion_net_n,reversion_net_avg_pct,reversion_net_std_pct,reversion_net_win_rate_pct,reversion_net_profit_factor,reversion_net_min_pct,reversion_net_max_pct,continuation_net_n,continuation_net_avg_pct,continuation_net_std_pct,continuation_net_win_rate_pct,continuation_net_profit_factor,continuation_net_min_pct,continuation_net_max_pct,relative_reversion_n,relative_reversion_avg_pct,relative_reversion_std_pct,relative_reversion_win_rate_pct,relative_reversion_profit_factor,relative_reversion_min_pct,relative_reversion_max_pct,dominant_hypothesis,dominant_net_edge_pct,reversion_minus_continuation_pct,relative_hypothesis,relative_edge_abs_pct
btc,rolling_beta,z3_abs025,negative_residual,72,2022Q4,20933,-0.22827223115942696,3.082358144829664,47.90044427459036,0.7795458334294805,-68.08487431530943,70.31759881982809,20933,0.1313647035287077,3.5334561823062796,46.79214637175751,1.150797065132864,-41.40347177882746,212.7050190686147,20933,0.027714780806472005,2.433488895312465,50.19347441838246,1.0404283172612179,-61.4494049532753,67.98697283578818,continuation,0.1313647035287077,-0.3596369346881346,mean_reversion,0.027714780806472005
btc,rolling_beta,z3_abs025,negative_residual,72,2023Q1,20918,0.5267068368447652,3.2789548652226075,55.492876948082994,1.6256908068187503,-17.655078904786926,48.637695721194675,20918,-0.6208685746730506,3.135875209171187,40.66832393154221,0.5594046036927044,-32.85673639257504,21.19776002054563,20918,0.23477623861172173,2.6724517039572406,52.27555215603786,1.318373958535393,-19.302398518355897,48.8499705801981,mean_reversion,0.5267068368447652,1.1475754115178156,mean_reversion,0.23477623861172173
btc,rolling_beta,z3_abs025,negative_residual,72,2023Q2,22532,-0.32449898203871913,3.2185294592475118,46.675838807030004,0.7091219532773032,-29.063102363217354,39.57934839127775,22532,0.23623974983798102,3.4671468784741735,48.317947807562575,1.2755540121991014,-28.499308093689002,40.688701060891866,22532,-0.18614123646840705,2.6340180638449198,47.69217113438665,0.7793429643839596,-25.590536559206083,40.03447169587533,continuation,0.23623974983798102,-0.5607387318767001,continuation,0.18614123646840705
btc,rolling_beta,z3_abs025,negative_residual,72,2023Q3,24061,-0.06273528000008345,2.6515800678229455,48.62640787997174,0.9222569612062079,-43.38897377575515,57.899258398455466,24061,-0.06943564040370621,2.5884291854224606,45.59245251652051,0.9144176705230415,-36.79501672753885,76.29109824428949,24061,0.1471283841137465,2.399039733902217,52.599642575121564,1.248026734668943,-43.850137311656844,54.353928053754544,mean_reversion,-0.06273528000008345,0.006700360403622763,mean_reversion,0.1471283841137465
btc,rolling_beta,z3_abs025,negative_residual,72,2023Q4,30226,0.28060535884252674,3.3999519290430014,53.24555018857937,1.3073033496402067,-52.13672612476068,69.7365017793224,30226,-0.3683581561306038,3.3281277491366876,42.44690001985046,0.7022985656448888,-41.20286513985302,108.51101852795048,30226,0.22516023149654485,3.1789321845843572,52.36882154436578,1.270984376299357,-51.37465080489285,69.84191889842259,mean_reversion,0.28060535884252674,0.6489635149731305,mean_reversion,0.22516023149654485
btc,rolling_beta,z3_abs025,negative_residual,72,2024Q1,31367,0.2933552729954393,3.94434868214539,52.79114993464469,1.2696619060756948,-66.44952915120828,103.07909503391444,31367,-0.3386391960349537,4.084070846237776,43.472439187681324,0.7585409647582889,-50.856487792888174,197.46288899453157,31367,0.12255835009607789,3.5962170454128843,49.43093059584914,1.123300304243089,-65.9642868098893,112.77919723012428,mean_reversion,0.2933552729954393,0.6319944690303929,mean_reversion,0.12255835009607789
btc,rolling_beta,z3_abs025,negative_residual,72,2024Q2,31706,-0.09139937732384038,3.9615058733907715,48.00037847725982,0.9299463247615297,-32.30221257570314,57.349770205521835,31706,0.05183378119477945,4.0781027884063175,48.29054437645871,1.0417053220521528,-36.5742957693994,47.42017967675185,31706,-0.016520859614049095,3.1818303743703353,49.725603986627135,0.983294535227143,-32.49986272176527,56.94731426565676,continuation,0.05183378119477945,-0.14323315851861984,continuation,0.016520859614049095
btc,rolling_beta,z3_abs025,negative_residual,72,2024Q3,31654,0.05033800316884657,3.2489919256873443,51.162570291274406,1.0472648679712964,-41.637706650977556,36.2143945900522,31654,-0.1430547763196476,3.3167829046193247,45.16648764769066,0.8777526982346309,-26.7330004597235,71.00116210521674,31654,0.23835019927285667,2.413079706310226,53.22234156820623,1.356189777055665,-41.563450190154796,36.90668817749358,mean_reversion,0.05033800316884657,0.19339277948849418,mean_reversion,0.23835019927285667
btc,rolling_beta,z3_abs025,negative_residual,72,2024Q4,38253,0.19206906269460372,4.033723632062497,51.72143361304996,1.1552142093425197,-57.930289511945496,69.26296677666069,38253,-0.23151578818033433,4.040402956013211,45.12848665464146,0.8401997388637801,-41.038372563935695,137.22578239853053,38253,-0.04837161969824473,3.6052055488745247,47.954408804538204,0.957410399887374,-57.96151527156197,66.50168990189364,mean_reversion,0.19206906269460372,0.423584850874938,continuation,0.04837161969824473
btc,rolling_beta,z3_abs025,negative_residual,72,2025Q1,42671,-0.5024453494640808,4.59891038882523,44.62515525766914,0.7168706323932325,-53.15421385165138,124.43432280859126,42671,0.5180490796403638,4.71709590591158,52.379836422863306,1.4048322028420996,-55.53255909828081,113.03986561788557,42671,-0.301857968702121,3.6680412537933935,43.96428487731715,0.7609616439197758,-53.87043393177182,123.24386690427743,continuation,0.5180490796403638,-1.0204944291044447,continuation,0.301857968702121
