batch_label,strategy_name,parent,family,group,side,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,official_pass_mdd_lt_5,verdict,description
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I362_b_fast_reentry_b162,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_fast_reentry,long,5m,597,39,33,6,84.615385,1.457067,1.517845,0.059869,101.457066723,25.352599,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_fast_reentry; tag=b162; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I350_b_wide_rr_b150,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_wide_rr,long,5m,597,47,39,8,82.978723,1.443003,1.601262,0.155765,101.443002699,10.280002,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_wide_rr; tag=b150; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I320_b_trend_runner_b120,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_trend_runner,long,5m,597,278,138,140,49.640288,1.710088,3.177428,1.847596,101.271126087,1.719764,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_trend_runner; tag=b120; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I328_b_wide_rr_b128,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_wide_rr,long,5m,597,1729,499,1230,28.860613,1.213135,4.608946,3.246196,101.213135289,1.419799,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_wide_rr; tag=b128; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I344_b_wide_rr_b144,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_wide_rr,long,5m,597,46,35,11,76.086957,0.929655,0.93882,0.17233,100.764872181,5.447811,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_wide_rr; tag=b144; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I226_b_deep_sweep_b026,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_deep_sweep,long,5m,597,1765,432,1333,24.475921,1.528772,5.253174,4.310115,100.716641128,1.218801,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_deep_sweep; tag=b026; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I345_b_wide_rr_b145,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_wide_rr,long,5m,597,106,34,72,32.075472,0.855658,0.99983,0.315677,100.680996296,3.167253,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_wide_rr; tag=b145; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_B_ANYCD_I013_I224_b_expansion_b024,8V9_RAWV51_I013_entry_timing_window_r013,current_any_cd_leader_8v9_i013_new_200,b_expansion,long,5m,597,23,20,3,86.956522,0.67159,0.67159,0.012539,100.658966693,53.561596,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=b_expansion; tag=b024; focus=8V10 B current any-MDD cd leader: new max-return expansion without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_A_MDD5_I013_I010_a_mdd_sieve_a010,8V9_RAWV51_I013_entry_timing_window_r013,current_mdd5_cd_leader_8v9_i013_new_200,a_mdd_sieve,long,5m,597,23,19,4,82.608696,0.626053,0.630111,0.093584,100.535937558,6.733133,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=a_mdd_sieve; tag=a010; focus=8V10 A current MDD<5 leader: new MDD-control/max-return blend without trade cap
8V10_LONG_DUAL_LEADERS_400_NEW_NO_TRADE_CAP,8V10_A_MDD5_I013_I130_a_lowanchor_mix_a130,8V9_RAWV51_I013_entry_timing_window_r013,current_mdd5_cd_leader_8v9_i013_new_200,a_lowanchor_mix,long,5m,597,23,19,4,82.608696,0.626053,0.630111,0.093584,100.535937558,6.733133,True,official_mdd_pass,8V10 long dual-leaders 400 new no-trade-cap improvement from 8V9_RAWV51_I013_entry_timing_window_r013; group=a_lowanchor_mix; tag=a130; focus=8V10 A current MDD<5 leader: new MDD-control/max-return blend without trade cap
