file,selected,reason,mapping
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_main_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_main_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_main_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_max_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_max_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\long_max_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_main_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_main_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_main_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_max_all_results.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_max_top_any_mdd.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V14_MAINMAX_4AXIS_400_PARENT_DENSITY_EXIT_RISK_20260429_171354\short_max_top_under_mdd5.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V15_4AXIS_PARENT_PRESERVE_50_EACH_STREAMSAFE\8V15_4AXIS_PARENT_PRESERVE_50_EACH_STREAMSAFE_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V16B_SELF_CONTAINED_BASELINE_GATE_4AXIS_50_EACH\8V16B_SELF_CONTAINED_BASELINE_GATE_4AXIS_50_EACH_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V16C_EXACT_BASELINE_GATE_PARENT_PRESERVE_4AXIS_50_EACH\8V16C_EXACT_BASELINE_GATE_PARENT_PRESERVE_4AXIS_50_EACH_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V18_SELF_CONTAINED_EXACT_PARENT_GATE_4AXIS_50_EACH\8V18_SELF_CONTAINED_EXACT_PARENT_GATE_4AXIS_50_EACH_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V1_LONG50_REVIEWED\8V1_LONG50_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V2_LONG100_REVIEWED\8V2_LONG100_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V3_LONG100_REVIEWED\8V3_LONG100_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V4_LONG400_REVIEWED\8V4_LONG400_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
C:\Users\user\Desktop\LCD\파이썬\local_results\8V5_LONG300_REVIEWED\8V5_LONG300_REVIEWED_registry.csv,False,excluded_path_or_result_file,{}
